Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% Playoffs,Rank,Num,Won,Notes
2009,54,IND,NFL,16,14,2,0,.875,5.9,4.4,1.5,3,2,1,.667,1,5,4,AFC Champions
2010,55,IND,NFL,16,10,6,0,.625,2.9,3.7,-0.9,1,0,1,.000,1,8,4,
2011,56,IND,NFL,16,2,14,0,.125,-11.3,-6.0,-5.3,,,,,4,3,2,
2014,59,DET,NFL,16,11,5,0,.688,2.1,-3.2,5.2,1,0,1,.000,2,4,2,
2015,60,DET,NFL,16,7,9,0,.438,-0.2,1.0,-1.3,,,,,3,7,4,
2016,61,DET,NFL,16,9,7,0,.563,-1.4,-1.3,-0.1,1,0,1,.000,2,4,2,
2017,62,DET,NFL,16,9,7,0,.563,2.7,5.2,-2.5,,,,,2,5,4,
