Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% Playoffs,Rank,Notes
1950,41,GNB,NFL,12,3,9,0,.250,-16.3,-5.9,-10.4,,,,,5,
1951,42,GNB,NFL,12,3,9,0,.250,-10.1,-1.5,-8.5,,,,,5,
1952,43,GNB,NFL,12,6,6,0,.500,-2.3,1.4,-3.7,,,,,4,
1953,44,GNB,NFL,10,2,7,1,.222,-9.8,-4.4,-5.4,,,,,6,
