,Year,PF (Points For),Yds,Offensive Plays,Y/P,TO,FL+,1stD,Cmp Passing,Att Passing,Yds Passing,TD Passing,Int Passing,NY/A Passing,1stD Passing,Att Rushing,Yds Rushing,TD Rushing,Y/A Rushing,1stD Rushing,Pen,Yds Penalties,1stPy,#Dr,Sc%,TO%,Start Average Drive,Time Average Drive,Plays Average Drive,Yds Average Drive,Pts Average Drive,3DAtt,3DConv,3D%,4DAtt,4DConv,4D%,RZAtt,RZTD,RZPct
0,2022,365,5676,1089,5.2,16,10,352,346,520,3157,17,6,5.5,170,520,2519,21,4.8,150,106,827,32,177,37.3,7.3,Own 26.7,2:55,6.30,32.0,1.95,212,78,36.8%,21,10,47.6%,49,31,63.3%
1,2021,258,4884,1050,4.7,30,10,299,351,593,3196,15,20,5.1,171,419,1688,8,4.0,90,88,674,38,189,27.5,15.9,Own 26.6,2:35,5.73,25.7,1.31,230,84,36.5%,30,13,43.3%,38,17,44.7%
2,2020,280,4794,966,5.0,22,11,297,321,517,3026,12,11,5.3,178,399,1768,13,4.4,91,81,634,28,167,33.5,12.6,Own 29.2,2:45,5.98,28.7,1.60,198,72,36.4%,22,14,63.6%,41,19,46.3%
3,2019,341,5416,1012,5.4,33,16,311,376,607,3731,30,17,5.7,187,362,1685,11,4.7,89,90,784,35,185,28.6,17.8,Own 26.9,2:29,5.56,29.2,1.75,212,79,37.3%,31,14,45.2%,42,24,57.1%
4,2018,369,5697,984,5.8,19,7,297,382,583,4047,23,12,6.4,208,354,1650,13,4.7,71,114,951,18,177,38.4,9.6,Own 27.2,2:37,5.79,32.2,1.97,206,76,36.9%,20,12,60.0%,54,27,50.0%
5,2017,246,5028,1036,4.9,22,8,271,373,608,3479,20,14,5.4,178,394,1549,6,3.9,66,91,895,27,194,22.7,11.3,Own 26.7,2:22,5.48,25.9,1.22,227,74,32.6,21,8,38.1,39,19,48.7
6,2016,310,5291,1018,5.2,27,11,289,377,598,3879,26,16,6.3,190,398,1412,6,3.5,73,88,857,26,193,27.5,13.0,Own 27.6,2:21,5.40,27.4,1.49,219,78,35.6%,19,9,47.4%,43,23,53.5%
7,2015,420,5952,1053,5.7,21,7,331,392,623,4343,36,14,6.7,208,403,1609,5,4.0,77,102,777,46,186,38.2,11.3,Own 28.0,2:27,5.83,32.0,2.03,217,82,37.8%,16,9,56.3%,54,24,44.4%
8,2014,380,5875,1086,5.4,28,14,336,383,607,4272,30,14,6.7,218,449,1603,13,3.6,83,101,896,35,193,34.7,12.4,Own 28.2,2:33,5.76,30.3,1.93,235,101,43.0%,16,5,31.3%,61,36,59.0%
9,2013,294,4920,988,5.0,44,15,280,325,567,3588,18,29,5.9,176,381,1332,11,3.5,77,91,786,27,204,25.5,20.1,Own 27.1,2:18,4.97,23.9,1.33,211,69,32.7%,12,6,50.0%,36,17,47.2%
10,2012,429,5687,968,5.9,21,6,327,323,539,3825,26,15,6.8,187,409,1862,18,4.6,103,72,578,37,176,43.8,11.9,Own 31.4,2:39,5.72,32.3,2.31,192,78,40.6%,10,5,50.0%,62,34,54.8%
11,2011,394,6161,1028,6.0,24,8,331,359,589,4734,29,16,7.7,216,411,1427,17,3.5,84,94,795,31,200,32.5,11.5,Own 26.4,2:22,5.26,30.7,1.90,206,77,37.4%,13,4,30.8%,56,32,57.1%
12,2010,394,6085,1035,5.9,42,17,331,339,539,3885,31,25,7.0,192,480,2200,17,4.6,112,92,777,27,207,32.4,20.3,Own 31.0,2:31,5.11,29.3,1.90,206,74,35.9%,11,3,27.3%,54,31,57.4%
