,Year,Week,Day,Date,, Offense,OT, Offense Defense,Opp,Tm,Opp Defense,1stD,TotYd,PassY,RushY,TO,1stD Defense,TotYd Defense,PassY Defense,RushY Defense,TO Defense,Offense,Defense,Sp. Tms
0,2022,WildCard,Sun,"January 15, 2023",boxscore,W,,@,Minnesota Vikings,31,24,28,431,289,142,,21,332,271,61,,,,
1,2022,Division,Sat,"January 21, 2023",boxscore,L,,@,Philadelphia Eagles,7,38,13,227,109,118,1,26,416,148,268,,,,
2,2016,WildCard,Sun,"January 8, 2017",boxscore,L,,@,Green Bay Packers,13,38,15,365,295,70,2,23,406,331,75,,,,
3,2011,WildCard,Sun,"January 8, 2012",boxscore,W,,,Atlanta Falcons,24,2,19,442,270,172,,14,247,183,64,,,,
4,2011,Division,Sun,"January 15, 2012",boxscore,W,,@,Green Bay Packers,37,20,19,420,325,95,1,25,388,241,147,4,,,
5,2011,ConfChamp,Sun,"January 22, 2012",boxscore,W,OT,@,San Francisco 49ers,20,17,20,352,267,85,,15,328,178,150,2,,,
6,2011,SuperBowl,Sun,"February 5, 2012",boxscore,W,,N,New England Patriots,21,17,26,396,282,114,,21,349,266,83,1,,,
7,2008,Division,Sun,"January 11, 2009",boxscore,L,,,Philadelphia Eagles,11,23,16,307,169,138,3,20,276,217,59,2,,,
8,2007,WildCard,Sun,"January 6, 2008",boxscore,W,,@,Tampa Bay Buccaneers,24,14,16,277,177,100,,20,271,202,69,3,,,
9,2007,Division,Sun,"January 13, 2008",boxscore,W,,@,Dallas Cowboys,21,17,16,230,140,90,,23,336,182,154,1,,,
10,2007,ConfChamp,Sun,"January 20, 2008",boxscore,W,OT,@,Green Bay Packers,23,20,24,377,243,134,1,13,264,236,28,2,,,
11,2007,SuperBowl,Sun,"February 3, 2008",boxscore,W,,N,New England Patriots,17,14,17,338,247,91,1,22,274,229,45,1,,,
