,Year,PF (Points For),Yds,Offensive Plays,Y/P,TO,FL+,1stD,Cmp Passing,Att Passing,Yds Passing,TD Passing,Int Passing,NY/A Passing,1stD Passing,Att Rushing,Yds Rushing,TD Rushing,Y/A Rushing,1stD Rushing,Pen,Yds Penalties,1stPy,#Dr,Sc%,TO%,Start Average Drive,Time Average Drive,Plays Average Drive,Yds Average Drive,Pts Average Drive,3DAtt,3DConv,3D%,4DAtt,4DConv,4D%,RZAtt,RZTD,RZPct
0,2023,187,2711,486,5.6,8,4,151,154,257,1692,9,4,6.2,81,214,1019,10,4.8,52,59,491,18,92,32.6,8.7,Own 29.5,2:30,5.5,29.5,1.80,101,34,33.7,8,3,37.5,26,14,53.8
1,2022,371,6089,1078,5.6,19,13,370,349,568,3638,21,6,6.0,200,469,2451,16,5.2,134,111,819,36,181,39.8,8.8,Own 29.1,2:48,6.1,33.2,1.99,205,72,35.1%,17,11,64.7%,63,31,49.2%
2,2021,416,6032,1137,5.3,22,7,365,402,611,3839,27,15,6.0,216,492,2193,15,4.5,126,107,814,23,184,41.3,12.0,Own 31.1,2:55,6.4,32.8,2.15,226,90,39.8%,23,15,65.2%,71,37,52.1%
3,2020,357,5589,1046,5.3,22,11,353,388,574,3807,22,11,6.2,215,432,1782,14,4.1,115,88,681,23,164,41.5,12.2,Own 29.2,3:03,6.6,34.0,2.12,204,91,44.6%,18,11,61.1%,59,30,50.8%
4,2019,451,6037,1061,5.7,16,6,343,369,556,4225,30,10,7.1,211,469,1812,19,3.9,100,117,922,32,186,39.8,8.6,Own 29.9,2:44,5.9,32.4,2.25,216,86,39.8%,14,8,57.1%,54,31,57.4%
5,2018,412,5942,1034,5.7,21,5,346,362,560,4044,24,16,6.9,205,444,1898,18,4.3,103,110,919,38,181,40.9,11.6,Own 28.1,2:47,5.9,32.7,2.18,206,87,42.2%,17,14,82.4%,58,33,56.9%
6,2017,388,5971,1052,5.7,19,6,313,347,561,4038,32,13,6.9,189,464,1933,10,4.2,101,115,923,23,197,35.5,9.6,Own 30.1,2:35,5.5,30.3,1.92,222,88,39.6,17,5,29.4,53,29,54.7
7,2016,284,5435,1062,5.1,25,8,298,369,630,4018,15,17,6.0,191,397,1417,10,3.6,82,104,853,25,197,29.9,12.2,Own 27.8,2:34,5.6,27.6,1.41,238,84,35.3%,14,7,50.0%,43,17,39.5%
8,2015,442,6725,1105,6.1,28,13,367,423,638,4783,31,15,7.2,236,444,1942,15,4.4,104,120,1077,27,190,40.5,14.2,Own 25.9,2:42,6.0,35.2,2.18,230,108,47.0%,14,8,57.1%,52,28,53.8%
9,2014,400,6012,1007,6.0,26,9,326,324,522,3850,25,17,6.8,187,438,2162,15,4.9,112,105,948,27,195,35.4,12.8,Own 28.5,2:24,5.3,30.8,1.88,200,72,36.0%,10,4,40.0%,51,25,49.0%
10,2013,383,5316,1089,4.9,29,12,327,361,601,3573,21,17,5.6,198,454,1743,12,3.8,101,105,904,28,200,31.0,13.0,Own 31.2,2:30,5.6,26.5,1.59,232,93,40.1%,15,4,26.7%,46,25,54.3%
11,2012,344,6134,1016,6.0,35,14,317,341,534,4068,26,21,7.2,196,449,2066,9,4.6,104,102,900,17,175,35.4,17.1,Own 27.9,2:49,6.0,35.1,1.89,198,84,42.4%,21,10,47.6%,50,23,46.0%
12,2011,400,6022,1072,5.6,31,11,338,361,589,4082,28,20,6.4,210,435,1940,15,4.5,103,110,933,25,196,34.7,14.8,Own 28.7,2:29,5.6,30.8,1.92,220,84,38.2%,18,10,55.6%,61,34,55.7%
13,2010,347,4990,974,5.1,39,23,263,308,539,3370,24,16,5.8,159,389,1620,11,4.2,88,107,899,16,202,28.7,18.3,Own 32.8,2:10,5.0,24.4,1.55,208,66,31.7%,17,9,52.9%,47,25,53.2%
14,2009,427,5198,953,5.5,24,11,308,314,498,3425,31,13,6.5,182,423,1773,21,4.2,103,88,678,23,182,38.5,11.5,Own 31.6,2:31,5.4,28.5,2.30,199,77,38.7%,19,12,63.2%,62,42,67.7%
15,2008,294,4672,931,5.0,22,5,268,296,503,3139,17,17,5.8,165,386,1533,14,4.0,78,111,866,25,173,28.9,12.1,Own 29.0,2:32,5.5,26.8,1.58,204,83,40.7%,16,5,31.3%,35,17,48.6%
16,2007,351,4880,984,5.0,25,10,288,306,523,3317,24,15,5.8,185,408,1563,12,3.8,83,118,874,20,193,29.5,12.4,Own 31.3,2:22,5.2,25.2,1.63,211,73,34.6%,16,10,62.5%,42,25,59.5%
17,2006,362,5479,1057,5.2,28,11,314,333,567,3649,21,17,6.1,189,458,1830,19,4.0,106,97,771,19,187,33.2,15.0,Own 31.6,2:38,5.8,29.2,1.85,226,97,42.9%,24,9,37.5%,46,30,65.2%
18,2005,314,5240,1049,5.0,37,20,302,329,580,3584,20,17,5.8,189,428,1656,12,3.9,83,136,1180,30,200,26.5,17.0,Own 28.6,2:26,5.4,26.1,1.44,236,94,39.8%,12,6,50.0%,43,24,55.8%
19,2004,347,5187,1005,5.2,28,14,310,292,467,3030,28,14,6.0,170,498,2157,13,4.3,112,120,1007,28,191,31.9,14.7,Own 32.9,2:36,5.4,26.9,1.82,208,87,41.8%,14,6,42.9%,50,36,72.0%
20,2003,387,5320,1060,5.0,22,12,314,309,519,3412,25,10,6.0,178,496,1908,12,3.8,102,118,983,34,201,32.3,10.4,Own 31.0,2:37,5.5,26.3,1.71,225,85,37.8%,11,5,45.5%,49,26,53.1%
21,2002,279,4949,985,5.0,25,14,266,311,541,3119,17,11,5.4,162,407,1830,12,4.5,87,120,897,17,185,27.0,12.4,Own 32.3,2:30,5.5,26.6,1.44,222,81,36.5%,21,8,38.1%,44,21,47.7%
22,2001,321,4975,995,5.0,28,13,268,298,521,3430,25,15,6.0,161,428,1545,7,3.6,83,100,695,24,199,27.6,13.6,Own 32.9,2:27,5.2,24.8,1.47,218,66,30.3%,19,11,57.9%,46,17,37.0%
23,2000,246,4546,988,4.6,31,11,274,327,585,3390,23,20,5.4,181,359,1156,7,3.2,62,80,728,31,190,22.6,15.3,Own 31.5,2:23,5.3,23.9,1.31,218,78,35.8%,18,2,11.1%,45,22,48.9%
24,1999,358,4981,990,5.0,24,7,270,295,511,3421,20,17,6.3,170,447,1560,13,3.5,81,92,750,19,192,29.7,12.5,Own 33.0,2:28,5.3,25.9,1.58,219,74,33.8%,17,5,29.4%,52,24,46.2%
25,1998,309,5171,1051,4.9,26,7,286,282,521,3167,17,19,5.5,163,476,2004,13,4.2,103,124,967,20,,,,,,,,,,,,,,,,,
26,1997,265,5067,1082,4.7,44,17,310,325,596,3616,10,27,5.6,195,432,1451,17,3.4,82,122,1056,33,,,,,,,,,,,,,,,,,
27,1996,297,5047,1050,4.8,35,13,285,317,533,3299,15,22,5.9,174,487,1748,14,3.6,98,100,781,13,,,,,,,,,,,,,,,,,
28,1995,340,5293,1037,5.1,31,15,335,299,508,3184,17,16,5.9,187,500,2109,17,4.2,120,94,662,28,,,,,,,,,,,,,,,,,
29,1994,305,4950,973,5.1,32,16,280,289,500,3222,16,16,6.1,166,447,1728,11,3.9,92,130,1122,22,,,,,,,,,,,,,,,,,
30,1993,205,4663,950,4.9,28,10,268,298,514,3116,13,18,5.6,161,395,1547,7,3.9,89,98,820,18,,,,,,,,,,,,,,,,,
31,1992,367,5043,923,5.5,26,12,287,270,440,3031,22,14,6.5,155,458,2012,17,4.4,115,93,744,17,,,,,,,,,,,,,,,,,
32,1991,297,4600,888,5.2,21,9,257,251,440,2874,17,12,6.1,138,414,1726,11,4.2,103,80,622,16,,,,,,,,,,,,,,,,,
33,1990,211,4206,914,4.6,34,11,245,278,496,2747,12,23,5.2,139,388,1459,9,3.8,90,83,569,16,,,,,,,,,,,,,,,,,
34,1989,252,4664,946,4.9,37,15,266,273,486,3125,16,22,6.0,159,421,1539,10,3.7,90,109,800,17,,,,,,,,,,,,,,,,,
35,1988,304,5086,1072,4.7,33,18,291,294,566,3327,23,15,5.4,177,454,1759,8,3.9,95,116,902,19,,,,,,,,,,,,,,,,,
36,1987,312,4658,1056,4.4,34,14,275,292,508,2890,17,20,5.1,148,493,1768,14,3.6,97,97,802,30,,,,,,,,,,,,,,,,,
37,1986,236,4757,996,4.8,43,19,284,334,587,3473,15,24,5.4,177,350,1284,10,3.7,78,119,988,29,,,,,,,,,,,,,,,,,
38,1985,283,4320,1022,4.2,37,13,258,278,535,2838,20,24,4.7,163,419,1482,9,3.5,77,106,821,18,,,,,,,,,,,,,,,,,
39,1984,301,5193,1051,4.9,35,16,296,288,529,3375,20,19,5.8,174,474,1818,10,3.8,107,93,699,15,,,,,,,,,,,,,,,,,
40,1983,347,4994,1039,4.8,36,13,289,283,493,3261,26,23,6.1,167,502,1733,10,3.5,98,114,927,24,,,,,,,,,,,,,,,,,
41,1982,160,2684,576,4.7,18,6,149,148,244,1566,10,12,5.7,85,301,1118,7,3.7,55,54,417,9,,,,,,,,,,,,,,,,,
42,1981,257,4825,1141,4.2,34,17,291,294,544,2934,14,17,5.0,156,553,1891,10,3.4,106,111,876,29,,,,,,,,,,,,,,,,,
43,1980,425,5752,1060,5.4,41,23,336,255,448,3245,22,18,6.8,160,584,2507,31,4.3,156,108,862,20,,,,,,,,,,,,,,,,,
44,1979,323,5378,1113,4.8,38,17,322,253,463,2926,22,21,5.9,159,618,2452,14,4.0,130,105,800,33,,,,,,,,,,,,,,,,,
45,1978,298,5042,1112,4.5,39,18,316,210,443,2386,10,21,5.1,127,640,2656,25,4.2,155,113,862,34,,,,,,,,,,,,,,,,,
46,1977,265,3870,884,4.4,32,20,226,185,328,2097,12,12,5.7,110,519,1773,16,3.4,94,106,886,22,,,,,,,,,,,,,,,,,
47,1976,250,4191,921,4.6,27,15,251,189,330,1988,11,12,5.5,119,560,2203,14,3.9,120,104,835,12,,,,,,,,,,,,,,,,,
48,1975,306,4789,946,5.1,24,8,264,196,365,2367,20,16,6.1,120,555,2422,16,4.4,137,97,755,7,,,,,,,,,,,,,,,,,
49,1974,299,4457,961,4.6,25,10,291,245,415,2541,22,15,5.8,142,521,1916,15,3.7,134,80,616,15,,,,,,,,,,,,,,,,,
50,1973,362,4159,807,5.2,32,12,240,161,275,1985,17,20,6.4,94,497,2174,21,4.4,128,58,484,18,,,,,,,,,,,,,,,,,
51,1972,247,4194,772,5.4,38,15,218,182,333,2339,19,23,6.3,111,402,1855,9,4.6,101,66,641,6,,,,,,,,,,,,,,,,,
52,1971,362,4366,800,5.5,30,15,228,173,333,2307,25,15,6.6,112,449,2059,12,4.6,104,69,730,12,,,,,,,,,,,,,,,,,
53,1970,270,4063,818,5.0,30,13,223,186,364,2371,19,17,5.9,110,419,1692,11,4.0,98,71,675,15,,,,,,,,,,,,,,,,,
54,1969,298,4208,838,5.0,33,14,243,171,340,2155,18,19,5.8,103,466,2053,14,4.4,120,62,601,20,,,,,,,,,,,,,,,,,
55,1968,325,4341,810,5.4,40,14,263,191,364,2340,18,26,6.1,121,425,2001,22,4.7,125,62,579,17,,,,,,,,,,,,,,,,,
56,1967,379,4284,836,5.1,32,15,261,195,389,2485,25,17,5.9,125,416,1799,20,4.3,113,68,774,23,,,,,,,,,,,,,,,,,
57,1966,501,4945,863,5.7,24,7,273,194,357,2892,36,17,7.6,137,480,2053,23,4.3,122,83,788,14,,,,,,,,,,,,,,,,,
58,1965,338,4913,879,5.6,36,20,266,208,393,2957,18,16,6.8,140,447,1956,20,4.4,108,83,848,18,,,,,,,,,,,,,,,,,
59,1964,399,4363,873,5.0,33,18,247,188,361,2444,28,15,6.0,127,468,1919,15,4.1,101,75,674,19,,,,,,,,,,,,,,,,,
60,1963,280,3758,836,4.5,50,16,213,176,368,2089,22,34,4.9,106,411,1669,14,4.1,89,66,617,18,,,,,,,,,,,,,,,,,
61,1962,283,4546,863,5.3,39,13,256,223,450,2869,21,26,6.4,136,413,1677,13,4.1,100,58,636,20,,,,,,,,,,,,,,,,,
62,1961,220,3962,805,4.9,54,21,212,176,386,2201,21,33,5.7,110,419,1761,6,4.2,86,67,677,16,,,,,,,,,,,,,,,,,
63,1960,261,3100,693,4.5,34,12,183,142,297,1833,19,22,6.2,89,396,1267,8,3.2,79,55,532,15,,,,,,,,,,,,,,,,,
64,1959,170,2843,683,4.2,38,16,167,137,304,1582,11,22,5.2,85,379,1261,6,3.3,66,40,324,16,,,,,,,,,,,,,,,,,
65,1958,183,3418,710,4.8,40,19,170,142,311,1978,11,21,6.4,80,399,1440,7,3.6,83,45,451,7,,,,,,,,,,,,,,,,,
66,1957,211,3171,668,4.7,32,14,174,104,226,1394,10,18,6.2,64,442,1777,12,4.0,92,49,423,18,,,,,,,,,,,,,,,,,
67,1956,197,3081,712,4.3,33,16,188,149,297,1638,12,17,5.5,90,415,1443,10,3.5,82,56,495,16,,,,,,,,,,,,,,,,,
68,1955,223,3808,791,4.8,39,16,209,181,373,2367,16,23,6.3,119,418,1441,10,3.4,77,46,439,13,,,,,,,,,,,,,,,,,
69,1954,184,3348,767,4.4,55,22,195,164,352,2016,11,33,5.7,110,415,1332,9,3.2,77,65,562,8,,,,,,,,,,,,,,,,,
70,1953,277,3741,753,5.0,37,14,189,173,368,2381,20,23,6.5,99,385,1360,12,3.5,81,68,625,9,,,,,,,,,,,,,,,,,
71,1952,231,3481,741,4.7,45,17,189,162,337,2178,18,28,6.5,110,404,1303,8,3.2,72,66,518,7,,,,,,,,,,,,,,,,,
72,1951,161,2974,769,3.9,53,12,174,162,377,2061,11,41,5.5,103,392,913,8,2.3,60,60,506,11,,,,,,,,,,,,,,,,,
73,1950,150,2969,768,3.9,54,27,176,145,295,1582,11,27,5.4,76,473,1387,8,2.9,87,70,553,13,,,,,,,,,,,,,,,,,
74,1949,298,3911,839,4.7,40,18,232,193,374,2247,16,22,6.0,110,465,1664,20,3.6,104,64,559,18,,,,,,,,,,,,,,,,,
75,1948,388,4574,792,5.8,50,11,227,157,311,2406,25,39,7.7,106,481,2168,26,4.5,109,104,880,12,,,,,,,,,,,,,,,,,
76,1947,309,3851,733,5.3,39,12,190,121,276,2015,19,27,7.3,75,457,1836,18,4.0,101,95,861,14,,,,,,,,,,,,,,,,,
77,1946,162,3112,652,4.8,45,26,161,128,258,1823,9,19,7.1,72,394,1289,9,3.3,77,94,837,12,,,,,,,,,,,,,,,,,
78,1945,198,3053,581,5.3,27,14,140,99,186,1410,6,13,7.6,55,395,1643,17,4.2,77,55,472,8,,,,,,,,,,,,,,,,,
79,1944,75,2290,632,3.6,45,11,137,114,258,1290,3,34,5.0,64,374,1000,5,2.7,66,54,412,7,,,,,,,,,,,,,,,,,
80,1943,170,2730,595,4.6,28,10,118,119,229,1724,16,18,7.5,51,366,1006,8,2.7,63,49,329,4,,,,,,,,,,,,,,,,,
81,1942,139,2866,694,4.1,34,19,159,114,228,1401,4,15,6.1,62,466,1465,13,3.1,86,41,290,11,,,,,,,,,,,,,,,,,
82,1941,114,2378,626,3.8,42,13,116,103,218,1212,6,29,5.6,47,408,1166,9,2.9,64,47,371,5,,,,,,,,,,,,,,,,,
83,1940,133,2219,647,3.4,34,11,,91,234,1242,7,23,5.3,,413,977,8,2.4,,0,0,,,,,,,,,,,,,,,,,,
84,1939,85,2499,628,4.0,45,10,,89,222,1283,3,35,5.8,,406,1216,5,3.0,,0,0,,,,,,,,,,,,,,,,,,
85,1938,79,2028,599,3.4,48,14,,77,226,914,5,34,4.0,,373,1114,3,3.0,,0,0,,,,,,,,,,,,,,,,,,
86,1937,109,2145,572,3.8,44,14,,71,182,929,5,30,5.1,,390,1216,6,3.1,,0,0,,,,,,,,,,,,,,,,,,
87,1936,163,2778,637,4.4,43,24,,60,149,997,7,19,6.7,,488,1781,12,3.6,,0,0,,,,,,,,,,,,,,,,,,
88,1935,96,2051,641,3.2,44,18,,66,205,962,5,26,4.7,,436,1089,4,2.5,,0,0,,,,,,,,,,,,,,,,,,
89,1934,107,2378,649,3.7,22,0,,54,184,744,5,22,4.0,,465,1634,7,3.5,,0,0,,,,,,,,,,,,,,,,,,
90,1933,101,2586,695,3.7,40,0,,62,202,809,6,40,4.0,,493,1777,7,3.6,,0,0,,,,,,,,,,,,,,,,,,
91,1932,113,,,,,0,,0,0,0,0,0,,,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,
92,1931,100,,,,,0,,0,0,0,0,0,,,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,
93,1930,98,,,,,0,,0,0,0,0,0,,,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,
94,1929,86,,,,,0,,0,0,0,0,0,,,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,
95,1928,136,,,,,0,,0,0,0,0,0,,,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,
96,1927,20,,,,,0,,0,0,0,0,0,,,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,
97,1926,51,,,,,0,,0,0,0,0,0,,,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,
98,1925,67,,,,,0,,0,0,0,0,0,,,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,
