,Year,Tm,Role,Tms,WL%,T/G,Pts±,Yds±,Yds,Pts,GvA,Att,Yds Rushing Off,TD,Y/A,FL,Att Rushing Off,Yds Rushing Off Passing Off,TD Passing Off,Int,NY/A,Yds Passing Off,Pts Passing Off,TkA,Att Passing Off,Yds Passing Off Defense,TD Defense,Y/A Defense,FR,Att Defense,Yds Defense,TD Defense Rushing Def,Int Rushing Def,nY/A
0,1975,CHI,HC,26,18,21,25,23,24,24,18,22,22,21,21,13,17,24,23,17,23,17,25,23,19,17,25,8,17,20,18,22,23,19
1,1976,CHI,HC,28,14,1,14,17,20,17,2,5,6,5,15,6,27,27,24,8,17,17,8,3,15,13,2,7,4,26,18,15,4,13
2,1977,CHI,HC,28,7,15,16,8,3,13,15,4,1,6,1,20,25,21,20,11,12,22,19,19,19,20,18,18,16,22,19,1,20,17
3,1978,WAS,HC,28,15,22,11,19,19,17,10,22,22,25,16,9,11,14,10,12,17,17,10,27,24,24,11,19,28,7,10,4,13,13
4,1979,WAS,HC,28,6,1,8,18,18,10,1,4,12,11,20,1,23,22,9,3,13,17,10,2,17,12,19,14,5,17,18,11,5,14
5,1980,WAS,HC,28,19,4,17,11,23,25,9,14,13,22,15,20,13,20,19,7,22,7,8,3,27,27,16,24,20,1,1,5,2,5
6,1981,SDG,DC,28,6,13,5,6,1,1,13,20,16,1,10,24,2,1,1,7,1,27,26,11,9,5,27,7,12,28,28,14,11,27
7,1990,HOU,HC,28,10,16,5,2,1,2,19,28,24,21,8,25,1,1,1,9,2,11,14,9,7,8,12,13,18,7,14,8,6,17
8,1991,HOU,HC,28,5,17,4,3,2,4,22,28,23,7,10,24,1,1,6,21,4,9,6,5,8,6,5,8,7,21,14,11,6,7
9,1992,HOU,HC,28,10,19,7,2,3,6,17,27,18,16,3,8,1,1,3,21,6,3,9,18,8,9,4,13,23,5,3,16,10,6
10,1993,HOU,HC,28,1,18,3,3,3,4,28,24,12,12,4,26,1,3,5,26,11,14,4,2,1,1,10,3,4,26,23,7,1,13
11,1994,HOU,HC,28,28,26,27,21,26,28,28,20,12,20,5,28,10,25,26,15,28,9,21,20,27,28,26,23,14,1,2,7,20,23
