,Year,Lg,Tm,W,L,T,Div. Finish,Playoffs,PF,PA,PD,Coaches,AV,Passer,Rusher,Receiver,Pts,Yds,Pts Def Rank,Yds Def Rank,T/G,Pts±,Yds±,out of,MoV,SoS,SRS,OSRS,DSRS
0,1948,AAFC,Brooklyn Dodgers,2,12,0,4th of 4,,253,387,-134,Voyles,,Chappuis,Colmer,Colmer,7,5,7,8,7,7,5,8,-9.6,1.2,-8.4,-4.1,-4.2
1,1947,AAFC,Brooklyn Dodgers,3,10,1,3rd of 4,,181,340,-159,Battles,,Hoernschemeyer,Hoernschemeyer,Judd,7,8,6,7,3,6,8,8,-11.4,1.4,-9.9,-8.0,-1.9
2,1946,AAFC,Brooklyn Dodgers,3,10,1,2nd of 4,,226,339,-113,"Stevens,Scott,Battles",,Dobbs,Dobbs,Judd,7,7,6,8,4,6,7,8,-8.1,1.0,-7.1,-3.0,-4.1
