Year,Age,Level,Employer,Role
1954,34,NFL,Los Angeles Rams,Kicking Coach
1955,35,NFL,Los Angeles Rams,Kicking Coach
1957,37,CFL,Toronto Argonauts,Assistant
1958,38,NFL,Los Angeles Rams,Quarterbacks
1960,40,NFL,Los Angeles Rams,Head Coach
1961,41,NFL,Los Angeles Rams,Head Coach
1962,42,NFL,Los Angeles Rams,Head Coach
