,Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% Playoffs,Rank,Notes
0,1984,43,HOU,NFL,16,3,13,0,.188,-12.0,-5.9,-6.0,,,,,4,
1,1985,44,HOU,NFL,14,5,9,0,.357,-8.9,-4.9,-4.0,,,,,4,
