,Year,Tm,Role,Tms,WL%,T/G,Pts±,Yds±,Yds,Pts,GvA,Att,Yds Rushing Off,TD,Y/A,FL,Att Rushing Off,Yds Rushing Off Passing Off,TD Passing Off,Int,NY/A,Yds Passing Off,Pts Passing Off,TkA,Att Passing Off,Yds Passing Off Defense,TD Defense,Y/A Defense,FR,Att Defense,Yds Defense,TD Defense Rushing Def,Int Rushing Def,nY/A
0,1952,DET,DC,12,1,1,1,2,3,2,5,3,4,3,4,1,3,4,2,10,4,4,1,1,1,1,1,2,2,12,10,2,2,6
1,1953,DET,DC,12,2,2,5,5,5,5,5,3,3,7,3,4,10,6,4,5,4,5,2,2,7,7,3,6,8,5,5,3,1,6
2,1954,DET,DC,12,1,3,2,4,3,1,3,7,6,5,4,1,4,3,4,3,4,4,3,6,5,5,5,4,10,7,6,1,2,5
3,1955,DET,DC,12,12,8,10,7,4,8,5,11,10,9,9,8,1,2,7,6,4,10,9,6,7,7,8,9,1,4,10,10,11,12
4,1956,DET,DC,12,2,3,2,2,3,2,7,3,5,2,7,3,4,3,7,9,2,6,3,2,1,3,1,6,7,9,7,3,2,6
5,1957,DET,DC,12,2,3,6,4,3,6,7,8,4,8,2,3,1,4,3,7,9,5,7,2,4,5,7,4,3,7,5,6,3,6
6,1958,DET,DC,12,8,4,7,9,12,5,4,8,11,10,11,7,9,7,3,3,10,7,7,6,9,6,10,7,8,5,7,5,4,7
7,1959,DET,DC,12,9,9,9,9,10,11,11,8,5,6,6,9,4,9,12,12,12,4,8,7,4,5,5,3,3,4,8,10,8,8
8,1960,BUF,HC,8,6,3,4,4,8,7,2,5,6,4,7,1,6,8,6,6,8,1,3,2,6,4,3,4,5,2,1,1,1,1
9,1961,BUF,HC,8,5,4,5,5,6,6,3,3,5,3,6,4,4,7,8,2,6,4,4,4,1,3,2,5,5,2,7,7,3,7
10,1962,PIT,DC,14,4,7,9,8,9,6,5,1,2,4,7,1,13,13,12,7,11,8,11,9,2,2,4,6,14,13,12,13,2,7
11,1963,PIT,DC,14,6,3,8,8,3,6,3,1,3,7,11,3,10,5,7,4,2,11,8,3,5,6,8,8,3,9,11,7,4,13
12,1964,PIT,DC,14,11,12,11,10,10,11,11,2,4,5,6,6,13,14,13,11,13,7,9,14,12,13,8,14,9,6,3,4,13,6
