,Year,Tm,Role,Tms,WL%,T/G,Pts±,Yds±,Yds,Pts,GvA,Att,Yds Rushing Off,TD,Y/A,FL,Att Rushing Off,Yds Rushing Off Passing Off,TD Passing Off,Int,NY/A,Yds Passing Off,Pts Passing Off,TkA,Att Passing Off,Yds Passing Off Defense,TD Defense,Y/A Defense,FR,Att Defense,Yds Defense,TD Defense Rushing Def,Int Rushing Def,nY/A
0,1996,BAL,DC,30,27,27,24,16,3,6,21,24,14,16,7,14,6,2,2,20,4,30,28,28,25,23,25,15,30,17,30,26,20,29
1,1997,BAL,DC,30,20,23,18,15,9,16,23,24,22,27,19,26,5,5,8,16,11,25,18,15,19,10,25,5,21,25,28,11,11,23
2,1998,BAL,DC,30,20,23,20,25,26,26,16,23,20,25,15,21,25,25,23,11,21,22,16,22,16,17,14,6,30,19,24,10,16,23
3,1999,BAL,DC,31,12,14,11,5,24,14,13,15,16,20,10,11,13,25,15,22,28,2,6,14,5,2,2,2,21,30,6,11,9,1
4,2000,BAL,DC,31,2,1,2,4,16,14,9,5,5,24,8,1,20,22,15,20,24,2,1,1,3,1,1,1,1,13,8,2,5,7
5,2001,BAL,DC,31,9,23,11,4,14,18,25,5,11,14,25,27,7,16,17,20,20,2,4,16,9,4,11,3,14,25,8,7,17,2
6,2002,WAS,DC,32,20,29,26,14,20,25,29,15,13,23,12,32,12,21,11,23,26,5,21,22,15,12,11,12,15,12,5,9,22,5
7,2003,CIN,HC,32,15,10,21,21,13,13,5,10,13,19,14,5,15,12,7,10,15,28,28,23,21,25,26,30,23,13,24,22,20,27
8,2004,CIN,HC,32,14,14,15,20,18,10,24,18,17,13,14,8,11,17,13,28,20,19,21,3,21,26,12,22,3,21,13,17,7,12
9,2005,CIN,HC,32,5,1,10,15,6,4,5,14,11,12,9,1,12,5,1,9,7,28,22,1,12,20,23,27,10,17,26,21,1,29
10,2006,CIN,HC,32,13,6,10,18,8,8,9,20,26,11,25,15,14,6,3,8,5,30,17,8,15,15,23,19,14,29,31,25,8,26
11,2007,CIN,HC,32,18,8,17,17,10,11,19,23,24,20,28,12,8,7,11,23,6,27,24,3,19,21,12,21,5,18,26,29,6,28
12,2008,CIN,HC,32,27,20,30,26,32,32,16,21,29,31,30,18,16,30,30,16,32,12,19,17,27,21,20,10,10,13,15,23,21,19
13,2009,CIN,HC,32,8,18,16,16,24,22,12,4,9,22,24,22,27,26,16,7,20,4,6,19,7,7,14,7,29,22,6,8,9,7
14,2010,CIN,HC,32,29,25,26,18,20,22,27,15,27,29,32,25,5,13,11,23,16,15,24,17,13,19,24,21,17,9,14,7,14,24
15,2011,CIN,HC,32,10,17,13,13,20,18,9,10,19,21,27,10,20,20,13,12,17,7,9,22,14,10,20,8,4,18,9,9,26,4
16,2012,CIN,HC,32,9,11,10,11,22,12,17,17,18,18,20,17,19,17,7,18,19,6,8,8,15,12,18,11,3,18,7,4,16,6
17,2013,CIN,HC,32,6,13,4,4,10,6,25,8,18,13,28,16,12,8,3,24,9,3,5,3,5,5,4,15,11,28,5,11,5,2
18,2014,CIN,HC,32,10,16,14,21,15,15,21,5,6,2,12,13,25,21,22,24,15,22,12,10,21,20,27,18,27,30,20,3,3,13
19,2015,CIN,HC,32,3,3,5,12,15,7,4,7,13,4,23,7,26,15,11,5,3,11,2,6,1,7,6,22,27,31,20,2,3,6
20,2016,CIN,HC,32,24,12,19,15,13,24,8,9,13,6,23,13,20,15,26,7,14,17,8,19,17,21,13,23,30,25,11,11,4,8
21,2017,CIN,HC,32,19,27,22,30,32,26,19,29,31,28,29,22,25,27,12,11,21,18,16,30,31,30,18,22,32,23,8,8,20,5
22,2018,CIN,HC,32,22,15,26,31,26,17,5,26,21,16,8,1,18,24,16,18,27,32,30,21,29,29,25,25,25,25,32,27,18,29
