Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% Playoffs,Rank,Num,Won,Notes
2020,39,NYG,NFL,16,6,10,0,.375,-4.4,-6.7,2.3,,,,,2,1,0,
2021,40,NYG,NFL,17,4,13,0,.235,-8.3,-7.7,-0.6,,,,,4,1,0,
