,Year,Age,Level,Employer,Role
0,1931,25,College,Columbia,Assistant Coach
1,1931,25,NFL,Staten Island Stapletons,Head Coach
2,1932,26,College,Columbia,Assistant Coach
3,1933,27,College,La Salle,Head Coach
4,1934,28,College,La Salle,Head Coach
5,1935,29,College,La Salle,Head Coach
6,1936,30,College,La Salle,Head Coach
7,1937,31,College,La Salle,Head Coach
8,1938,32,College,La Salle,Head Coach
9,1939,33,College,La Salle,Head Coach
10,1940,34,College,Loyola (CA),Head Coach
11,1941,35,College,Loyola (CA),Head Coach
