Year,Age,Level,Employer,Role
1924,25,College,North Carolina State,Head Coach
1925,26,College,Nevada,Head Coach
1926,27,College,Nevada,Head Coach
1927,28,College,Nevada,Head Coach
1928,29,College,Nevada,Head Coach
1929,30,College,Santa Clara,Line Coach
1930,31,College,Santa Clara,Line Coach
1931,32,College,Santa Clara,Line Coach
1932,33,College,Santa Clara,Line Coach
1933,34,College,Santa Clara,Line Coach
1934,35,College,Santa Clara,Line Coach
1935,36,College,Santa Clara,Line Coach
1936,37,College,Santa Clara,Head Coach
1937,38,College,Santa Clara,Head Coach
1938,39,College,Santa Clara,Head Coach
1939,40,College,Santa Clara,Head Coach
1940,41,College,Santa Clara,Head Coach
1941,42,College,Santa Clara,Head Coach
1942,43,College,Santa Clara,Head Coach
1945,46,College,California,Head Coach
1946,47,AAFC,San Francisco 49ers,Head Coach
1947,48,AAFC,San Francisco 49ers,Head Coach
1948,49,AAFC,San Francisco 49ers,Head Coach
1949,50,AAFC,San Francisco 49ers,Head Coach
1950,51,NFL,San Francisco 49ers,Head Coach
1951,52,NFL,San Francisco 49ers,Head Coach
1952,53,NFL,San Francisco 49ers,Head Coach
1953,54,NFL,San Francisco 49ers,Head Coach
1954,55,NFL,San Francisco 49ers,Head Coach
1956,57,College,Air Force,Head Coach
1957,58,College,Air Force,Head Coach
1958,59,NFL,Philadelphia Eagles,Head Coach
1959,60,NFL,Philadelphia Eagles,Head Coach
1960,61,NFL,Philadelphia Eagles,Head Coach
