,Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% Playoffs,Rank,Notes
0,1946,47,SFO,AAFC,14,9,5,0,.643,7.4,1.3,6.0,,,,,2,
1,1947,48,SFO,AAFC,14,8,4,2,.667,3.9,1.9,2.1,,,,,2,
2,1948,49,SFO,AAFC,14,12,2,0,.857,15.4,12.1,3.4,,,,,2,
3,1949,50,SFO,AAFC,12,9,3,0,.750,13.5,13.3,0.2,2,1,1,.500,2,
4,1950,51,SFO,NFL,12,3,9,0,.250,-9.5,-8.9,-0.6,,,,,5,
5,1951,52,SFO,NFL,12,7,4,1,.636,4.3,-2.3,6.6,,,,,2,
6,1952,53,SFO,NFL,12,7,5,0,.583,4.4,-0.1,4.5,,,,,3,
7,1953,54,SFO,NFL,12,9,3,0,.750,10.7,9.0,1.7,,,,,2,
8,1954,55,SFO,NFL,12,7,4,1,.636,6.0,4.5,1.6,,,,,3,
9,1958,59,PHI,NFL,12,2,9,1,.182,-7.7,-3.3,-4.5,,,,,5,
10,1959,60,PHI,NFL,12,7,5,0,.583,-2.6,0.4,-3.0,,,,,2,
11,1960,61,PHI,NFL,12,10,2,0,.833,6.7,5.6,1.1,1,1,0,1.000,1,NFL Champions
