Year,Tm,Role,Tms,WL%,T/G,Pts±,Yds±,Yds,Pts,GvA,Att,Yds Rushing Off,TD,Y/A,FL,Att Passing Off,Yds Defense,TD Rushing Def,Int,NY/A,Yds Passing Def,Pts_2,TkA,Att_2,Yds_5,TD_2,Y/A_1,FR,Att_3,Yds_6,TD_3,Int_1,nY/A
1946,SFO,HC,8,3,3,2,2,3,2,3,1,1,2,3,4,6,6,3,2,3,3,2,4,1,1,1,1,2,8,7,3,5,2
1947,SFO,HC,8,3,2,4,3,2,4,4,1,2,3,3,6,4,5,4,4,6,4,4,2,2,2,2,3,2,8,8,7,2,5
1948,SFO,HC,8,2,1,1,2,1,1,3,1,1,1,1,6,8,7,1,2,4,2,2,1,4,2,2,2,2,7,6,4,1,5
1949,SFO,HC,7,2,2,1,1,1,1,4,2,1,1,1,7,4,4,1,3,3,1,3,2,3,2,2,2,6,7,4,4,1,2
1950,SFO,HC,13,10,8,10,8,10,11,8,5,5,7,6,10,7,11,8,4,12,7,8,9,7,6,8,5,5,8,7,7,9,6
1951,SFO,HC,12,4,4,5,3,4,5,6,3,2,4,2,11,9,8,7,2,6,5,3,5,3,4,3,4,12,9,9,5,2,7
1952,SFO,HC,12,4,5,4,3,4,6,1,6,1,2,2,3,7,6,6,5,7,3,3,11,5,6,5,9,5,7,2,2,12,2
1953,SFO,HC,12,3,5,3,3,3,1,3,1,1,1,2,8,8,5,2,3,5,3,6,8,6,4,6,5,4,6,2,7,9,5
1954,SFO,HC,12,4,2,4,5,2,4,1,2,1,1,1,4,7,7,10,1,6,6,5,8,1,4,2,7,6,9,10,10,10,8
1958,PHI,HC,12,10,11,10,8,7,10,8,12,12,8,12,10,2,2,5,6,4,9,9,12,12,9,8,6,12,1,8,10,10,9
1959,PHI,HC,12,4,2,8,7,5,4,3,10,12,6,12,2,3,2,4,4,2,9,9,2,8,11,7,11,2,5,4,7,5,5
1960,PHI,HC,13,1,2,3,8,6,3,4,10,12,8,12,4,6,2,1,4,2,9,7,1,13,12,9,12,3,1,5,3,2,8
