,Year,Tm,Role,Tms,WL%,T/G,Pts±,Yds±,Yds,Pts,GvA,Att,Yds Rushing Off,TD,Y/A,FL,Att Rushing Off,Yds Rushing Off Passing Off,TD Passing Off,Int,NY/A,Yds Passing Off,Pts Passing Off,TkA,Att Passing Off,Yds Passing Off Defense,TD Defense,Y/A Defense,FR,Att Defense,Yds Defense,TD Defense Rushing Def,Int Rushing Def,nY/A
0,2000,NOR,OC,31,9,8,12,10,10,10,9,7,8,12,16,8,22,14,9,9,9,8,10,8,7,10,20,20,10,8,10,9,9,11
1,2001,NOR,OC,31,16,21,24,13,10,13,23,20,18,26,15,16,6,10,4,24,16,16,27,14,15,14,22,13,6,1,17,29,20,28
2,2002,NOR,OC,32,11,9,10,25,19,3,17,19,17,11,16,22,21,16,3,12,15,27,26,3,16,19,27,26,4,30,27,25,7,23
3,2003,NOR,OC,32,15,18,17,15,11,14,13,15,11,20,9,32,8,8,8,1,14,18,14,16,25,27,13,28,7,7,8,16,20,15
4,2004,NOR,OC,32,14,10,24,31,15,14,12,26,27,8,21,8,10,12,16,14,18,32,27,8,25,30,23,31,1,28,27,19,24,27
5,2005,SFO,OC,32,26,27,32,32,32,30,27,20,17,25,16,21,31,32,32,27,31,32,30,21,23,18,27,11,23,30,32,31,14,32
6,2006,GNB,HC,32,13,17,23,13,9,22,26,21,23,23,21,25,1,8,20,19,17,12,25,5,10,13,11,17,22,17,17,27,3,14
7,2007,GNB,HC,32,2,10,3,5,2,4,7,28,21,13,12,8,6,2,6,11,3,11,6,17,15,14,1,11,25,13,12,18,6,12
8,2008,GNB,HC,32,24,6,14,17,8,5,8,14,17,24,18,6,9,8,5,12,10,20,22,12,24,26,27,26,28,17,12,21,3,12
9,2009,GNB,HC,32,5,1,2,1,6,3,1,15,14,5,13,5,10,7,4,2,10,2,7,1,3,1,1,2,17,20,5,28,1,6
10,2010,GNB,HC,32,8,4,2,7,9,10,10,20,24,18,25,9,16,5,4,9,3,5,2,6,6,18,3,28,24,13,5,4,2,3
11,2011,GNB,HC,32,1,2,2,17,3,1,2,26,27,16,26,5,14,3,1,2,1,32,19,1,5,14,6,26,26,32,32,27,1,30
12,2012,GNB,HC,32,6,10,7,9,13,5,2,16,20,25,22,9,16,9,2,1,12,11,11,18,13,17,16,26,28,22,11,16,8,7
13,2013,GNB,HC,32,13,19,16,8,3,8,15,12,7,5,4,9,18,6,13,17,7,25,24,21,12,25,25,29,11,9,24,27,26,25
14,2014,GNB,HC,32,1,1,3,6,6,1,1,14,11,11,10,6,20,8,3,1,1,15,13,8,23,23,14,20,18,22,10,17,7,8
15,2015,GNB,HC,32,8,10,11,19,23,15,4,12,12,21,11,15,18,25,11,3,31,15,12,19,18,21,23,29,29,13,6,6,9,11
16,2016,GNB,HC,32,9,6,8,16,8,4,8,29,20,20,7,13,5,7,1,7,17,22,21,11,6,8,10,14,19,16,31,29,4,30
17,2017,GNB,HC,32,19,20,23,27,26,21,23,27,17,11,5,12,14,25,12,28,31,22,26,13,24,17,9,8,7,5,23,29,20,29
18,2018,GNB,HC,32,21,19,19,14,12,14,2,32,22,15,2,25,3,9,20,1,21,18,22,29,27,22,20,13,16,8,12,22,29,21
19,2020,DAL,HC,32,21,21,25,21,14,17,27,15,17,21,23,29,2,8,19,17,22,23,28,7,31,31,25,30,2,2,11,27,23,21
20,2021,DAL,HC,32,3,1,2,4,1,1,10,12,9,17,8,17,6,2,3,7,4,19,7,1,11,16,7,23,11,25,20,7,1,18
21,2022,DAL,HC,32,7,2,5,8,11,4,17,6,9,2,18,2,19,14,9,30,9,12,5,1,27,22,3,17,1,11,8,14,7,8
22,2023,DAL,HC,32,7,4,1,10,15,2,5,8,11,18,19,3,25,16,13,14,13,3,4,4,13,18,15,18,15,3,4,16,4,8
