Year,Age,Level,Employer,Role
1922,28,College,St. Edward's (TX),Head Coach
1923,29,College,St. Edward's (TX),Head Coach
1924,30,College,St. Edward's (TX),Head Coach
1925,31,College,St. Edward's (TX),Head Coach
1926,32,College,St. Edward's (TX),Head Coach
1927,33,College,St. Edward's (TX),Head Coach
1928,34,College,St. Edward's (TX),Head Coach
1929,35,College,Rice,Head Coach
1930,36,College,Rice,Head Coach
1931,37,College,Rice,Head Coach
1932,38,College,Rice,Head Coach
1933,39,College,Rice,Head Coach
1934,40,College,Auburn,Head Coach
1935,41,College,Auburn,Head Coach
1936,42,College,Auburn,Head Coach
1937,43,College,Auburn,Head Coach
1938,44,College,Auburn,Head Coach
1939,45,College,Auburn,Head Coach
1940,46,College,Auburn,Head Coach
1941,47,College,Auburn,Head Coach
1942,48,College,Auburn,Head Coach
1944,50,College,Iowa Pre-Flight,Head Coach
1946,52,AAFC,Miami Seahawks,Head Coach
