Year,Age,Level,Employer,Role
1946,29,NFL,Pittsburgh Steelers,Line Coach
1947,30,College,San Francisco,Line Coach
1948,31,College,San Francisco,Head Coach
1949,32,College,San Francisco,Head Coach
1950,33,College,San Francisco,Head Coach
1951,34,College,San Francisco,Head Coach
1952,35,NFL,Chicago Cardinals,Head Coach
1954,37,NFL,Washington Redskins,Head Coach
1955,38,NFL,Washington Redskins,Head Coach
1956,39,NFL,Washington Redskins,Head Coach
1957,40,NFL,Washington Redskins,Head Coach
1958,41,NFL,Washington Redskins,Head Coach
1959,42,College,Notre Dame,Head Coach
1960,43,College,Notre Dame,Head Coach
1961,44,College,Notre Dame,Head Coach
1962,45,College,Notre Dame,Head Coach
1964,47,NFL,Philadelphia Eagles,Head Coach
1965,48,NFL,Philadelphia Eagles,Head Coach
1966,49,NFL,Philadelphia Eagles,Head Coach
1967,50,NFL,Philadelphia Eagles,Head Coach
1968,51,NFL,Philadelphia Eagles,Head Coach
