,Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% Playoffs,Rank,Notes
0,1952,35,Chicago Cardinals,NFL,12,4,8,0,.333,-4.1,-8.5,4.4,,,,,5,
1,1954,37,Washington Redskins,NFL,12,3,9,0,.250,-19.7,-3.6,-16.1,,,,,5,
2,1955,38,Washington Redskins,NFL,12,8,4,0,.667,4.3,1.0,3.3,,,,,2,
3,1956,39,Washington Redskins,NFL,12,6,6,0,.500,-3.7,-3.7,-0.1,,,,,3,
4,1957,40,Washington Redskins,NFL,12,5,6,1,.455,1.4,2.3,-0.9,,,,,4,
5,1958,41,Washington Redskins,NFL,12,4,7,1,.364,-5.2,-5.1,-0.2,,,,,4,
6,1964,47,Philadelphia Eagles,NFL,14,6,8,0,.429,-3.6,-1.5,-2.0,,,,,3,
7,1965,48,Philadelphia Eagles,NFL,14,5,9,0,.357,-6.0,1.0,-7.0,,,,,5,
8,1966,49,Philadelphia Eagles,NFL,14,9,5,0,.643,-3.0,-0.8,-2.2,,,,,2,
9,1967,50,Philadelphia Eagles,NFL,14,6,7,1,.462,-5.3,2.2,-7.5,,,,,2,
10,1968,51,Philadelphia Eagles,NFL,14,2,12,0,.143,-10.8,-6.6,-4.2,,,,,4,
