Year,Tm,Role,Tms,WL%,T/G,Pts±,Yds±,Yds,Pts,GvA,Att,Yds Rushing Off,TD,Y/A,FL,Att Passing Off,Yds Defense,TD Rushing Def,Int,NY/A,Yds Passing Def,Pts_2,TkA,Att_2,Yds_5,TD_2,Y/A_1,FR,Att_3,Yds_6,TD_3,Int_1,nY/A
1971,NYG,OC,26,24,25,25,16,10,21,21,22,22,15,19,22,1,3,14,17,15,21,25,22,12,19,13,23,14,3,18,26,22,26
1972,NYG,OC,26,10,5,6,12,4,8,7,4,11,11,20,12,17,5,5,8,4,18,7,5,2,14,4,24,10,10,21,20,7,21
1973,NYG,OC,26,24,20,22,15,14,20,19,19,24,16,25,1,3,2,13,25,9,15,22,17,12,19,24,22,22,2,15,19,8,23
1978,WAS,OC,28,15,22,11,19,19,17,10,22,22,25,16,9,11,14,10,12,17,17,10,27,24,24,11,19,28,7,10,4,13,13
1979,WAS,OC,28,6,1,8,18,18,10,1,4,12,11,20,1,23,22,9,3,13,17,10,2,17,12,19,14,5,17,18,11,5,14
1980,WAS,OC,28,19,4,17,11,23,25,9,14,13,22,15,20,13,20,19,7,22,7,8,3,27,27,16,24,20,1,1,5,2,5
1981,NYJ,OC,28,5,9,9,9,15,9,4,5,6,21,11,9,11,19,6,3,21,5,8,17,3,7,21,13,22,14,8,5,13,4
1982,NYJ,OC,28,5,2,2,3,4,3,7,8,4,3,2,10,15,7,4,3,9,6,10,5,13,11,2,8,14,22,9,8,4,6
1983,NYJ,HC,28,19,22,16,13,11,19,20,19,17,23,7,15,6,10,16,22,17,13,10,17,19,23,9,22,25,4,7,15,16,9
1984,NYJ,HC,28,17,14,18,21,16,15,9,11,5,10,6,5,19,21,16,13,23,21,20,18,14,18,18,20,7,13,20,19,23,21
1985,NYJ,HC,28,4,2,3,3,4,7,1,5,7,11,13,24,20,9,7,1,5,8,3,7,4,3,5,2,5,13,16,5,12,15
1986,NYJ,HC,28,8,13,17,24,11,11,15,11,18,10,23,13,12,9,4,16,10,26,22,10,6,6,9,7,8,27,28,28,14,26
1987,NYJ,HC,28,19,18,17,19,20,14,12,21,22,5,23,20,5,16,19,4,26,19,20,21,17,16,17,14,24,15,20,25,15,20
1988,NYJ,HC,28,15,3,12,21,13,6,3,9,8,6,10,16,8,19,15,1,23,23,21,5,22,21,14,19,10,7,23,26,4,27
1989,NYJ,HC,28,26,25,26,24,17,26,21,24,22,20,12,19,6,12,24,21,24,27,25,25,24,24,19,21,27,16,25,28,24,26
1990,PIT,OC,28,10,5,11,10,22,20,13,14,13,18,10,23,26,25,14,9,13,1,3,3,16,11,16,5,5,7,1,1,3,1
1991,PIT,OC,28,18,11,21,22,20,17,11,19,17,22,9,11,23,18,7,11,21,22,22,17,21,11,18,3,21,23,26,21,7,21
