n_features,qwk_mean,qwk_std,qwk_ci_low,qwk_ci_high,mae_mean,mae_std,mae_ci_low,mae_ci_high,adjacent_accuracy_mean,adjacent_accuracy_std,adjacent_accuracy_ci_low,adjacent_accuracy_ci_high,exact_accuracy_mean,exact_accuracy_std,exact_accuracy_ci_low,exact_accuracy_ci_high,macro_f1_mean,macro_f1_std,macro_f1_ci_low,macro_f1_ci_high,auroc_mean,auroc_std,auroc_ci_low,auroc_ci_high
5,0.4733794931793998,0.06744713699341008,0.36501482731429946,0.6151136902940928,0.523529124743163,0.05032036580767034,0.4242063492063492,0.6052334522637796,0.9045907221235305,0.024313380713057976,0.8596202761627907,0.9507905505952381,0.5718801531333065,0.03616294908722219,0.5196850393700787,0.639988312007874,0.5436734091301727,0.03470246130433973,0.49261123031009396,0.6131968007086209,0.7288486042368182,0.030294810449982217,0.6601696299181443,0.7805419675413204
10,0.5865609362381252,0.052082826156088384,0.47657036380377554,0.6887920677628695,0.43448898512934675,0.04459197351359906,0.35149429563492063,0.5117698223768541,0.9348415440937078,0.01584678029942651,0.9004706533776301,0.9666758951642672,0.6306694707769455,0.037316044538556324,0.5601171946529939,0.7049068509615385,0.6054869728420492,0.03691800945197277,0.5335559978226848,0.6754327702291675,0.7822747359410238,0.023885685351763997,0.7300934876310508,0.8234345260520151
20,0.7072065672009512,0.04259325486185104,0.6307000845669979,0.7829367361610352,0.33581871941192604,0.03966460416088321,0.26936813186813185,0.40802050906427395,0.9681871700321735,0.013496651737495164,0.9338461538461539,0.9904140918453895,0.6959941105559005,0.035795268346245954,0.6291851588851411,0.7589423076923076,0.6733855889488519,0.03681754526479189,0.6005376049653158,0.7432239435736909,0.8428899407559995,0.02223358250204183,0.802907798855831,0.884500526536961
30,0.7291693880777292,0.05024475316614603,0.6375929188136694,0.8257154114320198,0.3142314095846506,0.04932606019984225,0.206640625,0.4045321369712507,0.9725833738050024,0.01418827106370283,0.9454078851744186,0.9922344355620155,0.713185216610347,0.044541852467536544,0.6412518168604652,0.808984375,0.6907518194704905,0.046937537473408356,0.6205646958164428,0.7905950888869243,0.8645165849088834,0.026600629583125434,0.8111868923780857,0.9107676751682059
40,0.7440353734528656,0.045342075103048086,0.6529164891552205,0.8112941486557723,0.30672689929890956,0.04500543517074659,0.23241758241758242,0.3937007874015748,0.9813561872262707,0.011414238413771153,0.9603877640294963,1.0,0.7119169134748198,0.040799555262757144,0.6328318335208098,0.7854670329670329,0.6907944444939974,0.04237836313587157,0.6134345808162471,0.7731407361795292,0.8622277059483374,0.025001956514729685,0.8155051931278015,0.9115992876316821
50,0.7262548004186569,0.04422876198439453,0.66036993888384,0.8018960938764685,0.31655718943647626,0.044623380400341583,0.237890625,0.4015748031496063,0.9742985024715811,0.012813294739192632,0.9472314507198228,0.9922806490384616,0.7091443080919427,0.04132005112271269,0.6329564182384179,0.7883091517857143,0.6877812897461287,0.04325745226403811,0.6111468672156702,0.7793934857174989,0.8629339619480253,0.026588763563521464,0.8152582142955668,0.9090543669878086
60,0.7190503013446792,0.05117222464180317,0.6242468950123345,0.8074415495826162,0.32538180396524075,0.047621225167263345,0.2361328125,0.4059055118110236,0.9752322942267597,0.013774891067147946,0.9524653168353955,1.0,0.6993859018079996,0.04085919794969086,0.6389341957255343,0.765625,0.6779879524568126,0.04264347316689625,0.617914687305453,0.7513031785914626,0.8579205978579729,0.026907410510298112,0.8122075079381714,0.9092718327810969
70,0.7218050164351105,0.04534667636081878,0.6397738995789609,0.8039258888508449,0.3251680800362425,0.0421564117175521,0.2439453125,0.4009857779405481,0.9776092694183717,0.01220264649501786,0.9603174603174603,1.0,0.6972226505453857,0.03743939367702152,0.633933624507874,0.7638671875,0.6749066188695358,0.03828329994195413,0.6120263474143431,0.7420346716824749,0.8508752088328115,0.02461424314826368,0.8069729738483918,0.8857639829437046
80,0.7259076319858326,0.04361266294608894,0.6535747946936883,0.8012742923295818,0.3249351650577478,0.04179179969099,0.2549946326335878,0.4013565891472868,0.9800805134087969,0.011113709315128657,0.9550952206555576,1.0,0.6949843215334554,0.0375139262023942,0.6218992248062015,0.7544370229007634,0.6732425647349233,0.03895263567294757,0.5957448139205771,0.7489539270859643,0.8546183756473121,0.024469604159199222,0.8020717998821966,0.8919588003038715
90,0.7130620288103299,0.04481202031861947,0.6182833897809047,0.8017190591063514,0.3297444577802509,0.044203266646301996,0.23988095238095236,0.4012204724409449,0.9750909460290356,0.01066261339562354,0.9534883720930233,0.9921119235095613,0.6951645961907134,0.03819751856876269,0.6328125,0.7698412698412699,0.6740496255325144,0.03981234150736887,0.604171972920077,0.7559438207080483,0.8514599105420373,0.02383301304925671,0.8125512732286315,0.8981595662812573
100,0.706925116669229,0.04704129496002859,0.6085814781183789,0.784633845909476,0.33850899985098104,0.047946683242104216,0.24605921855921856,0.4211391715116279,0.975563293333987,0.01088562313231106,0.952548363095238,0.9922344355620155,0.6859277068150321,0.045931885257508194,0.6043999138779528,0.7775854700854701,0.6641794307773439,0.04562394230724267,0.5812054529113367,0.7533772523591666,0.8488086141646173,0.026587358345659305,0.8048946938503017,0.9000547041881192
110,0.6992917137498683,0.0449666077351607,0.6182889586079089,0.7921141371993227,0.34840916434360325,0.04190843020067285,0.2621123798076923,0.43324854651162786,0.9757036268317723,0.013273949401156362,0.952755905511811,1.0,0.6758872088246247,0.03704295013193027,0.5901480741279069,0.7482421875,0.6533525550611453,0.03744981897397212,0.5788179687899114,0.7263398866285734,0.8434634643764596,0.026579459536242456,0.7937747422337638,0.8844310269882867
120,0.6961844969956035,0.04670681536528881,0.5920742542831883,0.7795511891385247,0.34601362820717163,0.04310794211050745,0.26274181547619047,0.4323643410852713,0.9736626013367387,0.01221332016114959,0.9465691788526434,0.9922668079951544,0.6803237704560898,0.03895762436695655,0.614851439468504,0.7592261904761904,0.6583017062579796,0.04108647462288401,0.5907264968706123,0.7450200963523567,0.8447901927786029,0.02594976249219372,0.8007194160200826,0.891035983734722
130,0.6934020690125421,0.049380805475511616,0.5875121104757974,0.7857100932611963,0.35117992676967136,0.04495872580401507,0.27686392716535435,0.4445357921511628,0.9733509367381623,0.012572715381986342,0.9530012113870382,1.0,0.6754691364921664,0.03894574182398371,0.5940891472868217,0.7404296875,0.6519355537951188,0.03879785998432891,0.5765286847166193,0.7236093147111011,0.8414163062609501,0.026783334655606054,0.7873804095279626,0.893796359641163
140,0.6876266770488847,0.04743836858473797,0.6179153853540116,0.776885707066114,0.3521982192176765,0.042436234785399776,0.26274181547619047,0.4183162424464384,0.9715208572763053,0.013256737024041272,0.9449787770669291,0.9921259842519685,0.6762809235060181,0.03824625170392456,0.6057140261627907,0.7569475446428572,0.653177088301219,0.03844575662573002,0.5796665700902989,0.7389763755515888,0.8446885430086555,0.025262623121560003,0.799444612094377,0.8940925733018367
150,0.6921398205790114,0.05028794496059552,0.5884590777188534,0.7770096586649226,0.3499347667034347,0.04706551023307846,0.2673828125,0.4445357921511628,0.9725658990849675,0.01294464120694148,0.9451680799515445,0.9922344355620155,0.6774993342115978,0.04333537341455809,0.591979490935726,0.7530753968253968,0.655667978976428,0.04331938850660697,0.5666420871772985,0.7299135407119942,0.8407226617374352,0.027954979894225167,0.7867627093081183,0.8993499111377606
