Year,Tm,Role,Tms,WL%,T/G,Pts±,Yds±,Yds,Pts,GvA,Att,Yds Rushing Off,TD,Y/A,FL,Att Passing Off,Yds Defense,TD Rushing Def,Int,NY/A,Yds Passing Def,Pts_2,TkA,Att_2,Yds_5,TD_2,Y/A_1,FR,Att_3,Yds_6,TD_3,Int_1,nY/A
1973,RAM,HC,26,1,1,1,1,1,1,1,1,2,2,5,1,23,13,3,2,1,1,4,5,1,1,1,5,6,11,7,4,8,6
1974,RAM,HC,26,4,16,6,4,9,13,5,2,7,7,16,14,22,13,10,4,10,3,1,22,1,1,1,5,26,16,12,18,8,7
1975,RAM,HC,26,1,3,3,4,9,11,2,4,7,8,11,1,25,15,19,7,9,2,1,11,2,2,1,4,9,13,3,3,10,4
1976,RAM,HC,28,6,4,3,2,5,3,17,2,4,4,11,21,24,9,9,8,4,4,3,2,1,2,5,3,15,25,14,4,1,8
1977,RAM,HC,28,4,4,1,2,5,4,7,2,3,4,7,20,17,13,11,2,13,4,2,7,5,4,3,11,11,19,9,7,6,5
1978,BUF,HC,28,23,19,25,23,20,11,4,17,10,17,6,10,18,20,7,4,16,24,24,28,28,28,27,28,18,1,1,20,27,18
1979,BUF,HC,28,18,7,17,16,21,23,6,27,28,26,27,20,14,9,25,3,7,14,8,10,25,24,15,16,12,1,6,4,8,23
1980,BUF,HC,28,4,11,8,6,18,12,20,2,8,10,25,27,21,23,15,8,18,1,3,5,11,9,13,7,3,2,2,2,11,3
1981,BUF,HC,28,6,16,14,4,8,20,9,13,13,17,15,14,13,9,7,9,5,7,6,17,15,17,1,14,14,6,4,12,16,6
1982,BUF,HC,28,15,23,13,2,11,19,23,4,1,12,3,10,18,20,23,26,17,2,6,17,12,16,7,15,18,7,2,3,10,2
1983,SEA,HC,28,7,2,13,27,19,6,11,7,14,5,20,20,22,21,12,5,14,27,24,2,16,19,12,20,1,21,26,28,7,28
1984,SEA,HC,28,4,1,3,13,18,5,18,12,25,23,28,5,14,10,2,23,6,6,5,1,11,6,8,7,1,18,10,7,1,8
1985,SEA,HC,28,12,10,9,18,18,13,19,16,21,26,26,14,6,12,4,16,21,11,8,5,14,9,10,9,5,10,17,16,6,16
1986,SEA,HC,28,8,7,7,15,8,10,3,7,5,13,2,8,24,18,7,3,8,22,8,14,11,12,9,11,17,19,23,10,10,21
1987,SEA,HC,28,7,14,8,21,17,6,16,11,10,12,9,11,28,23,2,20,9,22,14,9,16,26,14,28,4,3,12,11,17,18
1988,SEA,HC,28,12,7,14,25,23,12,15,8,10,16,13,14,24,23,8,16,15,24,16,5,18,24,10,26,5,12,20,16,6,20
1989,SEA,HC,28,19,23,22,22,26,27,17,23,25,28,25,10,8,16,12,19,27,14,16,27,25,23,11,19,18,2,6,19,27,21
1990,SEA,HC,28,10,23,14,15,21,18,19,13,17,6,19,19,19,18,21,17,17,9,11,16,9,10,2,9,5,19,11,9,23,8
1991,SEA,HC,28,18,22,14,17,21,20,26,19,20,17,20,21,19,14,18,26,18,8,8,4,13,15,1,12,2,18,10,15,11,6
1992,RAM,HC,28,18,19,20,22,13,12,20,24,15,11,10,20,10,10,5,16,11,27,27,12,21,27,28,27,9,21,24,12,14,19
1993,RAM,HC,28,23,23,27,22,18,26,11,15,5,21,2,8,25,23,20,18,19,24,25,28,21,18,27,16,25,9,22,11,24,27
1994,RAM,HC,28,25,25,24,20,21,21,16,26,25,26,21,15,17,15,8,16,10,16,23,27,23,20,17,12,27,15,12,18,20,13
