,Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% Playoffs,Rank,Notes
0,1973,41,Los Angeles Rams,NFL,14,12,2,0,.857,13.4,8.2,5.2,1,0,1,.000,1,
1,1974,42,Los Angeles Rams,NFL,14,10,4,0,.714,3.9,-0.1,4.0,2,1,1,.500,1,
2,1975,43,Los Angeles Rams,NFL,14,12,2,0,.857,9.1,0.5,8.7,2,1,1,.500,1,
3,1976,44,Los Angeles Rams,NFL,14,10,3,1,.750,10.5,5.9,4.5,2,1,1,.500,1,
4,1977,45,Los Angeles Rams,NFL,14,10,4,0,.714,8.5,3.8,4.6,1,0,1,.000,1,
5,1978,46,Buffalo Bills,NFL,16,5,11,0,.313,-3.3,-0.1,-3.2,,,,,4,
6,1979,47,Buffalo Bills,NFL,16,7,9,0,.438,-0.2,-3.3,3.1,,,,,4,
7,1980,48,Buffalo Bills,NFL,16,11,5,0,.688,3.9,-1.6,5.5,1,0,1,.000,1,
8,1981,49,Buffalo Bills,NFL,16,10,6,0,.625,1.3,-2.5,3.9,2,1,1,.500,3,
9,1982,50,Buffalo Bills,NFL,9,4,5,0,.444,1.5,-1.9,3.4,,,,,4,
10,1983,51,Seattle Seahawks,NFL,16,9,7,0,.563,1.5,3.4,-2.0,3,2,1,.667,2,
11,1984,52,Seattle Seahawks,NFL,16,12,4,0,.750,9.0,5.4,3.5,2,1,1,.500,2,
12,1985,53,Seattle Seahawks,NFL,16,8,8,0,.500,4.3,0.3,4.1,,,,,3,
13,1986,54,Seattle Seahawks,NFL,16,10,6,0,.625,6.4,2.4,4.0,,,,,3,
14,1987,55,Seattle Seahawks,NFL,15,9,6,0,.600,1.9,2.4,-0.4,1,0,1,.000,2,
15,1988,56,Seattle Seahawks,NFL,16,9,7,0,.563,-0.7,1.2,-2.0,1,0,1,.000,1,
16,1989,57,Seattle Seahawks,NFL,16,7,9,0,.438,-2.8,-3.6,0.8,,,,,4,
17,1990,58,Seattle Seahawks,NFL,16,9,7,0,.563,2.7,-0.5,3.3,,,,,3,
18,1991,59,Seattle Seahawks,NFL,16,7,9,0,.438,1.2,-1.5,2.7,,,,,4,
19,1992,60,Los Angeles Rams,NFL,16,6,10,0,.375,-2.9,1.1,-4.0,,,,,4,
20,1993,61,Los Angeles Rams,NFL,16,5,11,0,.313,-8.4,-5.0,-3.4,,,,,4,
21,1994,62,Los Angeles Rams,NFL,16,4,12,0,.250,-5.3,-3.2,-2.1,,,,,4,
