Year,Age,Level,Employer,Role
1955,23,High School,Tyrone HS (PA),Assistant Coach
1956,24,High School,Ellwood City HS (PA),Head Coach
1957,25,High School,Ellwood City HS (PA),Head Coach
1958,26,High School,Ellwood City HS (PA),Head Coach
1959,27,College,Wake Forest,Assistant Coach
1960,28,College,Wake Forest,Assistant Coach
1961,29,College,Kentucky,Assistant Coach
1962,30,College,Kentucky,Assistant Coach
1963,31,AFL,New York Jets,Offensive Line
1964,32,AFL,New York Jets,Offensive Line
1965,33,AFL,New York Jets,Offensive Line
1966,34,AFL,New York Jets,Offensive Line
1967,35,NFL,Detroit Lions,Offensive Line
1968,36,NFL,Detroit Lions,Offensive Line
1969,37,NFL,Detroit Lions,Offensive Line
1970,38,NFL,Detroit Lions,Offensive Line
1971,39,NFL,Detroit Lions,Offensive Line
1972,40,NFL,Detroit Lions,Offensive Line
1973,41,NFL,Los Angeles Rams,Head Coach
1974,42,NFL,Los Angeles Rams,Head Coach
1975,43,NFL,Los Angeles Rams,Head Coach
1976,44,NFL,Los Angeles Rams,Head Coach
1977,45,NFL,Los Angeles Rams,Head Coach
1978,46,NFL,Buffalo Bills,Head Coach
1979,47,NFL,Buffalo Bills,Head Coach
1980,48,NFL,Buffalo Bills,Head Coach
1981,49,NFL,Buffalo Bills,Head Coach
1982,50,NFL,Buffalo Bills,Head Coach
1983,51,NFL,Seattle Seahawks,Head Coach
1984,52,NFL,Seattle Seahawks,Head Coach
1985,53,NFL,Seattle Seahawks,Head Coach
1986,54,NFL,Seattle Seahawks,Head Coach
1987,55,NFL,Seattle Seahawks,Head Coach
1988,56,NFL,Seattle Seahawks,Head Coach
1989,57,NFL,Seattle Seahawks,Head Coach
1990,58,NFL,Seattle Seahawks,Head Coach
1991,59,NFL,Seattle Seahawks,Head Coach
1992,60,NFL,Los Angeles Rams,Head Coach
1993,61,NFL,Los Angeles Rams,Head Coach
1994,62,NFL,Los Angeles Rams,Head Coach
