Year,Age,Level,Employer,Role
1948,26,College,Stanford,Freshmen Coach
1949,27,College,Stanford,Freshmen Coach
1950,28,College,Stanford,Freshmen Coach
1951,29,College,Stanford,Freshmen Coach
1952,30,College,Stanford,Assistant Coach
1953,31,College,Stanford,Assistant Coach
1954,32,College,Stanford,Assistant Coach
1955,33,College,New Mexico,Assistant Coach
1956,34,College,Valley JC (CA),Head Coach
1957,35,College,San Jose State,Assistant Coach
1958,36,College,San Jose State,Assistant Coach
1959,37,College,San Jose State,Assistant Coach
1960,38,AFL,Oakland Raiders,Line Coach
1961,39,AFL,Oakland Raiders,Head Coach
1962,40,AFL,Oakland Raiders,Head Coach
