,Year,PF (Points For),Yds,Offensive Plays,Y/P,TO,FL+,1stD,Cmp Passing,Att Passing,Yds Passing,TD Passing,Int Passing,NY/A Passing,1stD Passing,Att Rushing,Yds Rushing,TD Rushing,Y/A Rushing,1stD Rushing,Pen,Yds Penalties,1stPy,#Dr,Sc%,TO%,Start Average Drive,Time Average Drive,Plays Average Drive,Yds Average Drive,Pts Average Drive,3DAtt,3DConv,3D%,4DAtt,4DConv,4D%,RZAtt,RZTD,RZPct
0,2024,338,5442,1032,5.3,19,7,304,340,551,3488,21,12,5.9,167,444,1954,15,4.4,111,110,1003,26,181,34.8,9.4,Own 31.1,2:39,5.87,30.0,1.84,216,76,35.2%,27,15,55.6%,43,25,58.1%
1,2023,402,5732,1121,5.1,18,7,337,406,606,3990,28,11,6.2,199,480,1742,13,3.6,112,96,846,26,194,36.6,8.2,Own 31.2,2:44,5.97,29.6,1.94,235,91,38.7%,19,9,47.4%,60,32,53.3%
2,2022,330,5674,1015,5.6,25,11,305,338,512,3692,24,14,6.7,181,465,1982,12,4.3,103,99,841,21,186,31.7,12.9,Own 27.7,2:42,5.62,30.5,1.73,219,88,40.2%,11,4,36.4%,48,25,52.1%
3,2021,364,5177,1051,4.9,18,5,307,293,504,3186,29,13,5.9,165,510,1991,12,3.9,113,98,811,29,196,33.7,8.7,Own 31.1,2:39,5.52,26.4,1.85,220,78,35.5%,21,11,52.4%,56,33,58.9%
4,2020,482,6023,1045,5.8,17,9,367,370,522,3758,28,8,6.8,199,494,2265,30,4.6,147,98,1005,21,178,45.5,9.0,Own 32.0,2:54,6.03,33.9,2.67,208,93,44.7%,16,11,68.8%,68,49,72.1%
5,2019,458,5982,1011,5.9,8,2,347,418,581,4244,36,6,7.0,230,405,1738,12,4.3,97,120,1036,20,173,46.2,4.0,Own 33.7,2:59,6.05,34.6,2.50,192,81,42.2%,13,5,38.5%,57,34,59.6%
6,2018,504,6067,1010,6.0,16,9,377,381,519,4042,33,7,7.5,210,471,2025,26,4.3,134,94,939,33,168,51.8,9.5,Own 31.5,3:02,6.15,36.1,2.96,184,82,44.6%,16,13,81.3%,69,48,69.6%
7,2017,448,6259,1000,6.3,18,10,332,386,536,4189,23,8,7.5,201,444,2070,23,4.7,111,105,967,20,175,44.6,9.1,Own 29.6,2:51,5.97,35.6,2.41,194,73,37.6,15,12,80.0,55,32,58.2
8,2016,469,6816,1105,6.2,24,9,395,472,674,5074,38,15,7.2,265,404,1742,17,4.3,105,107,969,25,181,45.9,12.7,Own 27.4,2:44,6.28,37.8,2.59,220,107,48.6%,15,13,86.7%,68,45,66.2%
9,2015,408,6461,1096,5.9,20,8,381,460,667,4970,32,12,7.1,247,397,1491,16,3.8,98,130,1112,36,182,36.3,10.4,Own 26.4,2:45,6.16,35.5,2.14,218,104,47.7%,16,10,62.5%,58,35,60.3%
10,2014,401,6582,1095,6.0,30,13,395,456,659,4764,33,17,6.9,258,406,1818,16,4.5,101,80,670,36,174,39.1,16.7,Own 25.5,2:49,6.42,37.7,2.30,203,98,48.3%,15,8,53.3%,65,39,60.0%
11,2013,414,6391,1079,5.9,19,7,359,446,651,4918,39,12,7.1,244,391,1473,10,3.8,87,95,817,28,181,40.3,8.3,Own 27.8,2:53,6.14,35.3,2.29,221,97,43.9%,19,9,47.4%,57,32,56.1%
12,2012,461,6574,1067,6.2,24,5,352,423,671,4997,43,19,7.2,267,370,1577,10,4.3,64,104,911,21,190,37.4,12.1,Own 24.2,2:26,5.73,34.7,2.24,207,91,44.0%,14,8,57.1%,57,39,68.4%
13,2011,547,7474,1117,6.7,19,5,416,472,662,5347,46,14,7.8,280,431,2127,16,4.9,116,99,851,20,175,51.4,10.9,Own 28.2,2:55,6.58,42.6,2.96,208,118,56.7%,10,3,30.0%,75,44,58.7%
14,2010,384,5960,1067,5.6,31,9,351,450,661,4441,33,22,6.5,236,380,1519,9,4.0,94,90,884,21,174,38.5,16.7,Own 29.2,2:57,6.31,34.2,2.12,217,106,48.8%,11,5,45.5%,61,31,50.8%
15,2009,510,6461,1032,6.3,28,16,348,378,544,4355,34,12,7.7,215,468,2106,21,4.5,115,89,787,18,185,41.6,13.5,Own 31.4,2:44,5.73,34.9,2.44,197,88,44.7%,15,6,40.0%,71,41,57.7%
16,2008,463,6571,1047,6.3,26,8,354,413,636,4977,34,18,7.7,232,398,1594,20,4.0,103,86,797,19,178,42.7,14.0,Own 29.9,2:44,6.03,36.7,2.49,200,97,48.5%,18,10,55.6%,62,38,61.3%
17,2007,379,5780,1060,5.5,30,12,346,440,652,4314,28,18,6.5,232,392,1466,14,3.7,94,68,581,20,180,31.7,16.1,Own 28.5,2:46,6.01,32.1,1.88,214,99,46.3%,25,11,44.0%,50,36,72.0%
18,2006,413,6264,1075,5.8,23,10,330,372,580,4503,27,13,7.5,207,472,1761,19,3.7,99,79,597,24,190,36.8,12.1,Own 29.2,2:41,5.79,33.0,2.09,234,105,44.9%,20,12,60.0%,53,29,54.7%
19,2005,235,5031,1017,4.9,43,19,312,308,553,3343,15,24,5.6,182,423,1688,8,4.0,89,135,1130,41,182,26.4,20.3,Own 28.5,2:41,5.77,27.6,1.30,211,82,38.9%,12,2,16.7%,42,16,38.1%
20,2004,348,5193,989,5.3,26,10,291,309,542,3587,21,16,6.2,177,406,1606,15,4.0,82,129,1141,32,193,30.1,13.0,Own 30.5,2:22,5.26,26.8,1.65,210,70,33.3%,18,9,50.0%,47,27,57.4%
21,2003,340,5438,1019,5.3,28,20,302,314,535,3438,25,8,6.0,177,448,2000,11,4.5,100,103,878,25,186,31.2,14.5,Own 30.7,2:38,5.65,29.1,1.71,229,106,46.3%,19,5,26.3%,40,22,55.0%
