,Team Abreviation,PF (Points For),Yds,Offensive Plays,Y/P,TO,FL+,1stD,Cmp Passing,Att Passing,Yds Passing,TD Passing,Int Passing,NY/A Passing,1stD Passing,Att Rushing,Yds Rushing,TD Rushing,Y/A Rushing,1stD Rushing,Pen,Yds Penalties,1stPy,#Dr,Sc%,TO%,Start Average Drive,Time Average Drive,Plays Average Drive,Yds Average Drive,Pts Average Drive,3DAtt,3DConv,3D%,4DAtt,4DConv,4D%,RZAtt,RZTD,RZPct
0,atl,386,6156.0,1082.0,5.7,17.0,7,351.0,372,561,3942,26,10,6.8,200.0,500,2214,15,4.4,136.0,100,804,15.0,170.0,43.5,10.0,29.0,3.05,6.6,36.2,2.27,220.0,101.0,0.45899999999999996,17.0,7.0,0.41200000000000003,60.0,33.0,0.55
1,buf,286,5106.0,997.0,5.1,27.0,10,313.0,362,570,3433,21,17,5.6,181.0,387,1673,10,4.3,103.0,89,754,29.0,168.0,31.0,14.3,27.9,2.9166666666666665,6.1,30.3,1.67,208.0,78.0,0.375,33.0,19.0,0.5760000000000001,49.0,22.0,0.449
2,car,374,5953.0,1103.0,5.4,17.0,7,346.0,383,580,3868,25,10,6.3,194.0,488,2085,17,4.3,125.0,105,866,27.0,193.0,34.2,8.3,28.4,2.8166666666666664,5.9,30.8,1.9,231.0,95.0,0.41100000000000003,18.0,8.0,0.444,57.0,32.0,0.561
3,chi,463,6390.0,1043.0,6.1,23.0,9,361.0,323,481,3716,22,14,7.4,184.0,542,2674,31,4.9,151.0,84,647,26.0,177.0,41.8,11.9,28.9,2.9333333333333336,6.1,35.9,2.45,204.0,100.0,0.49,15.0,6.0,0.4,62.0,40.0,0.645
4,cin,322,5371.0,996.0,5.4,24.0,11,295.0,329,559,3665,17,13,6.2,173.0,407,1706,12,4.2,102.0,100,832,20.0,176.0,36.4,13.1,28.0,2.5833333333333335,5.9,30.6,1.77,212.0,84.0,0.396,23.0,9.0,0.391,50.0,26.0,0.52
5,cle,381,5631.0,1041.0,5.4,20.0,9,329.0,315,519,3336,20,11,6.0,166.0,488,2295,22,4.7,129.0,88,714,34.0,187.0,38.5,10.2,29.0,2.6166666666666667,5.8,30.2,2.05,215.0,85.0,0.395,18.0,8.0,0.444,58.0,32.0,0.552
6,clt,427,5678.0,1092.0,5.2,21.0,11,344.0,365,537,3569,25,10,6.1,184.0,511,2109,20,4.1,127.0,89,725,33.0,197.0,36.0,10.2,29.2,2.6666666666666665,5.7,28.7,1.99,224.0,85.0,0.379,25.0,13.0,0.52,53.0,36.0,0.679
7,crd,449,5931.0,1075.0,5.5,20.0,9,363.0,414,593,3915,29,11,6.2,218.0,446,2016,21,4.5,124.0,94,757,21.0,190.0,41.6,10.5,31.3,2.7333333333333334,5.8,31.2,2.3,203.0,87.0,0.429,16.0,8.0,0.5,66.0,43.0,0.652
8,dal,342,5613.0,1101.0,5.1,33.0,17,327.0,345,550,3415,23,16,5.7,174.0,497,2198,9,4.4,119.0,98,851,34.0,197.0,33.5,16.2,29.2,2.6666666666666665,5.8,28.4,1.65,231.0,87.0,0.377,22.0,12.0,0.545,50.0,26.0,0.52
9,den,359,5440.0,1079.0,5.0,23.0,8,324.0,392,605,3574,20,15,5.6,180.0,438,1866,12,4.3,109.0,106,922,35.0,198.0,35.9,10.6,28.7,2.6666666666666665,5.7,27.4,1.72,220.0,75.0,0.341,14.0,9.0,0.643,47.0,24.0,0.511
10,det,427,6670.0,1076.0,6.2,22.0,10,377.0,353,560,4179,26,12,7.0,209.0,477,2491,22,5.2,135.0,103,818,33.0,177.0,41.2,11.9,26.8,2.8833333333333333,6.2,37.7,2.32,204.0,92.0,0.451,27.0,15.0,0.556,58.0,37.0,0.638
11,gnb,371,5721.0,991.0,5.8,24.0,7,321.0,314,478,3349,22,17,6.5,163.0,479,2372,18,5.0,129.0,100,916,29.0,173.0,38.2,13.9,28.9,2.85,5.9,33.0,2.07,194.0,73.0,0.376,19.0,11.0,0.579,54.0,29.0,0.537
12,htx,420,6452.0,1134.0,5.7,27.0,11,372.0,336,522,3558,15,16,6.3,196.0,573,2894,25,5.1,150.0,95,773,26.0,193.0,35.2,11.9,27.1,2.8166666666666664,6.0,33.2,1.89,221.0,86.0,0.389,21.0,13.0,0.619,55.0,31.0,0.564
13,jax,350,6006.0,1106.0,5.4,27.0,13,350.0,385,601,4055,25,14,6.4,211.0,470,1951,14,4.2,114.0,90,683,25.0,180.0,36.1,14.4,27.1,2.8666666666666667,6.3,33.3,1.95,220.0,95.0,0.43200000000000005,31.0,10.0,0.32299999999999995,52.0,31.0,0.596
14,kan,369,5579.0,1093.0,5.1,20.0,9,337.0,408,619,3756,33,11,5.6,207.0,419,1823,10,4.4,102.0,98,734,28.0,184.0,35.9,10.3,28.2,2.8166666666666664,6.1,30.2,2.01,222.0,85.0,0.38299999999999995,35.0,20.0,0.5710000000000001,55.0,37.0,0.6729999999999999
15,mia,399,5743.0,1086.0,5.3,14.0,6,336.0,416,624,3992,27,8,6.0,200.0,422,1751,15,4.1,98.0,84,799,38.0,184.0,37.5,7.6,28.8,2.8333333333333335,6.1,31.1,2.04,233.0,97.0,0.41600000000000004,31.0,15.0,0.484,59.0,35.0,0.593
16,min,427,6608.0,1118.0,5.9,25.0,10,359.0,408,617,4515,23,15,6.9,224.0,463,2093,18,4.5,113.0,111,926,22.0,192.0,41.1,12.0,27.8,2.75,6.1,34.4,2.09,215.0,82.0,0.381,29.0,11.0,0.379,49.0,28.0,0.5710000000000001
17,nor,345,5352.0,1076.0,5.0,14.0,7,319.0,322,536,3134,17,7,5.4,159.0,492,2218,14,4.5,122.0,92,798,38.0,184.0,34.8,7.1,28.1,2.8166666666666664,6.0,29.1,1.74,233.0,97.0,0.41600000000000004,19.0,8.0,0.42100000000000004,44.0,22.0,0.5
18,nwe,347,5474.0,1091.0,5.0,30.0,11,314.0,364,596,3681,28,19,5.7,194.0,441,1793,7,4.1,90.0,89,699,30.0,190.0,30.5,14.2,28.9,2.8,5.9,28.7,1.63,241.0,97.0,0.402,27.0,10.0,0.37,50.0,29.0,0.58
19,nyg,371,6089.0,1078.0,5.6,19.0,13,370.0,349,568,3638,21,6,6.0,200.0,469,2451,16,5.2,134.0,111,819,36.0,181.0,39.8,8.8,29.1,2.8,6.1,33.2,1.99,205.0,72.0,0.35100000000000003,17.0,11.0,0.647,63.0,31.0,0.49200000000000005
