,Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% Playoffs,Rank,Num,Won,Notes
0,2019,36,CIN,NFL,16,2,14,0,.125,-7.3,-4.4,-2.9,,,,,4,8,3,
1,2020,37,CIN,NFL,16,4,11,1,.281,-7.5,-5.4,-2.1,,,,,4,5,1,
