,Year,Tm,Role,Tms,WL%,T/G,Pts±,Yds±,Yds,Pts,GvA,Att,Yds Rushing Off,TD,Y/A,FL,Att Rushing Off,Yds Rushing Off Passing Off,TD Passing Off,Int,NY/A,Yds Passing Off,Pts Passing Off,TkA,Att Passing Off,Yds Passing Off Defense,TD Defense,Y/A Defense,FR,Att Defense,Yds Defense,TD Defense Rushing Def,Int Rushing Def,nY/A
0,1977,NYG,DC,28,19,13,21,23,24,24,14,10,16,16,25,6,23,26,26,20,26,12,21,18,12,8,22,3,6,8,18,9,25,23
1,1980,CLE,DC,28,4,10,10,14,5,8,3,25,26,14,19,12,5,2,3,3,5,23,12,22,10,6,8,5,25,25,28,17,17,25
2,1981,CLE,DC,28,25,28,26,7,4,24,28,23,20,21,13,28,3,4,12,23,15,16,23,19,15,18,10,15,9,4,15,25,27,25
3,1982,CLE,DC,28,15,7,24,26,17,23,17,21,23,14,27,5,3,12,19,24,21,23,17,2,24,26,26,25,7,9,14,5,4,23
4,1983,CLE,DC,28,7,19,11,7,10,13,11,22,19,21,14,2,5,6,9,22,12,9,14,23,18,14,17,10,28,5,9,15,16,17
5,1984,CLE,HC,28,22,18,21,10,24,25,18,14,21,23,26,14,17,18,24,19,17,2,6,14,13,15,2,15,12,5,3,3,13,6
6,,CLE,DC,28,22,18,21,10,24,25,18,14,21,23,26,14,17,18,24,19,17,2,6,14,13,15,2,15,12,5,3,3,13,6
7,1985,CLE,HC,28,12,27,15,16,21,23,11,8,8,13,9,28,27,25,22,2,11,9,7,27,17,10,11,7,28,14,12,6,19,13
8,1986,CLE,HC,28,3,4,6,13,9,5,1,16,22,5,24,8,11,8,17,1,7,19,11,12,18,18,9,21,2,16,15,11,18,17
9,1987,CLE,HC,28,6,8,2,2,9,3,4,16,21,7,22,14,15,5,4,1,3,3,2,13,2,2,4,5,19,10,8,3,6,7
10,1988,CLE,HC,28,5,17,13,10,18,20,10,23,24,23,25,16,9,9,17,7,14,6,6,21,17,15,8,9,24,5,6,4,12,10
11,1989,KAN,HC,28,14,21,12,4,13,17,21,1,4,5,14,23,26,21,24,19,7,2,8,20,9,12,3,16,4,5,2,6,24,2
12,1990,KAN,HC,28,6,1,4,11,7,6,2,5,10,18,18,10,18,9,9,1,4,16,5,1,3,12,12,22,1,21,17,5,8,12
13,1991,KAN,HC,28,9,5,6,10,5,10,2,3,3,14,4,1,21,15,10,8,9,13,7,11,11,18,5,24,7,7,16,11,18,22
14,1992,KAN,HC,28,10,1,10,12,25,7,1,13,23,9,27,2,26,20,20,3,12,5,13,3,15,15,14,17,9,8,2,13,3,3
15,1993,KAN,HC,28,4,5,9,13,16,8,8,18,20,3,16,24,20,15,9,3,10,11,14,3,16,9,15,6,4,18,14,14,7,12
16,1994,KAN,HC,28,9,2,10,6,5,14,9,12,11,11,14,13,6,7,13,5,6,12,7,2,14,16,11,21,1,7,10,18,22,15
17,1995,KAN,HC,30,1,1,3,5,14,12,1,3,1,13,5,5,20,25,15,1,23,2,1,12,6,3,2,2,5,25,5,5,17,1
18,1996,KAN,HC,30,10,11,15,19,22,24,2,6,4,7,8,6,18,26,20,6,28,18,11,20,14,13,12,14,22,16,22,12,16,22
19,1997,KAN,HC,30,1,3,2,10,14,5,2,3,5,9,12,7,23,24,14,3,20,11,1,4,5,7,3,16,13,10,16,6,4,16
20,1998,KAN,HC,30,18,14,16,16,19,14,19,20,23,3,26,19,10,16,26,18,19,9,22,7,24,18,28,10,2,8,7,3,21,14
21,2001,WAS,HC,31,14,11,20,23,28,28,13,4,8,20,18,25,30,30,28,6,27,10,13,9,28,20,11,12,20,4,6,13,5,20
22,2002,SDG,HC,32,17,13,21,26,16,20,7,9,8,7,7,6,21,22,28,17,20,30,22,18,10,11,17,18,23,31,32,26,15,28
23,2003,SDG,HC,32,29,28,30,24,14,16,20,25,6,9,1,18,12,19,13,21,22,27,31,28,29,25,13,20,29,22,21,32,25,22
24,2004,SDG,HC,32,4,3,3,13,10,3,3,4,6,2,16,8,28,16,5,1,6,18,11,8,1,3,21,6,22,32,31,11,3,22
25,2005,SDG,HC,32,14,25,7,6,10,5,17,12,9,4,6,14,13,12,4,17,9,13,13,27,3,1,18,3,23,28,28,17,26,18
26,2006,SDG,HC,32,1,3,1,2,4,1,1,2,2,1,4,2,25,16,8,2,6,10,7,15,3,7,15,20,14,27,13,12,17,3
