Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% Playoffs,Rank,Num,Won,Notes
1984,41,CLE,NFL,8,4,4,0,.500,-3.8,-6.1,2.3,,,,,3,,,
1985,42,CLE,NFL,16,8,8,0,.500,-1.3,-4.7,3.4,1,0,1,.000,1,,,
1986,43,CLE,NFL,16,12,4,0,.750,3.6,2.9,0.7,2,1,1,.500,1,,,
1987,44,CLE,NFL,15,10,5,0,.667,10.8,5.3,5.5,2,1,1,.500,1,,,
1988,45,CLE,NFL,16,10,6,0,.625,0.5,-3.5,4.0,1,0,1,.000,2,,,
1989,46,KAN,NFL,16,8,7,1,.531,2.0,-0.1,2.1,,,,,2,,,
1990,47,KAN,NFL,16,11,5,0,.688,6.7,2.7,4.1,1,0,1,.000,2,,,
1991,48,KAN,NFL,16,10,6,0,.625,6.4,1.8,4.5,2,1,1,.500,2,,,
1992,49,KAN,NFL,16,10,6,0,.625,3.4,3.7,-0.2,1,0,1,.000,2,,,
1993,50,KAN,NFL,16,11,5,0,.688,2.9,1.9,1.0,3,2,1,.667,1,,,
1994,51,KAN,NFL,16,9,7,0,.563,0.9,-1.3,2.1,1,0,1,.000,2,,,
1995,52,KAN,NFL,16,13,3,0,.813,7.6,0.8,6.9,1,0,1,.000,1,,,
1996,53,KAN,NFL,16,9,7,0,.563,1.8,-0.7,2.5,,,,,2,,,
1997,54,KAN,NFL,16,13,3,0,.813,8.4,1.8,6.6,1,0,1,.000,1,,,
1998,55,KAN,NFL,16,7,9,0,.438,-3.1,-0.7,-2.4,,,,,4,,,
2001,58,WAS,NFL,16,8,8,0,.500,-3.7,-4.0,0.4,,,,,2,8,3,
2002,59,SDG,NFL,16,8,8,0,.500,-0.7,-1.0,0.2,,,,,3,8,1,
2003,60,SDG,NFL,16,4,12,0,.250,-6.8,-0.6,-6.2,,,,,4,4,0,
2004,61,SDG,NFL,16,12,4,0,.750,9.1,6.1,3.0,1,0,1,.000,1,8,4,
2005,62,SDG,NFL,16,9,7,0,.563,9.9,7.1,2.9,,,,,3,9,6,
2006,63,SDG,NFL,16,14,2,0,.875,10.2,10.0,0.2,1,0,1,.000,1,8,3,
