,Year,Age,Level,Employer,Role
0,1974,31,WFL,Portland Storm,Linebackers Coach
1,1975,32,NFL,New York Giants,Linebackers Coach
2,1976,33,NFL,New York Giants,Linebackers Coach
3,1977,34,NFL,New York Giants,Defensive Coordinator
4,1978,35,NFL,Detroit Lions,Linebackers Coach
5,1979,36,NFL,Detroit Lions,Linebackers Coach
6,1980,37,NFL,Cleveland Browns,Defensive Coordinator
7,1981,38,NFL,Cleveland Browns,Defensive Coordinator
8,1982,39,NFL,Cleveland Browns,Defensive Coordinator
9,1983,40,NFL,Cleveland Browns,Defensive Coordinator
10,1984,41,NFL,Cleveland Browns,Defensive Coordinator/Interim HC
11,1985,42,NFL,Cleveland Browns,Head Coach
12,1986,43,NFL,Cleveland Browns,Head Coach
13,1987,44,NFL,Cleveland Browns,Head Coach
14,1988,45,NFL,Cleveland Browns,Head Coach
15,1989,46,NFL,Kansas City Chiefs,Head Coach
16,1990,47,NFL,Kansas City Chiefs,Head Coach
17,1991,48,NFL,Kansas City Chiefs,Head Coach
18,1992,49,NFL,Kansas City Chiefs,Head Coach
19,1993,50,NFL,Kansas City Chiefs,Head Coach
20,1994,51,NFL,Kansas City Chiefs,Head Coach
21,1995,52,NFL,Kansas City Chiefs,Head Coach
22,1996,53,NFL,Kansas City Chiefs,Head Coach
23,1997,54,NFL,Kansas City Chiefs,Head Coach
24,1998,55,NFL,Kansas City Chiefs,Head Coach
25,2001,58,NFL,Washington Redskins,Head Coach
26,2002,59,NFL,San Diego Chargers,Head Coach
27,2003,60,NFL,San Diego Chargers,Head Coach
28,2004,61,NFL,San Diego Chargers,Head Coach
29,2005,62,NFL,San Diego Chargers,Head Coach
30,2006,63,NFL,San Diego Chargers,Head Coach
31,2011,68,UFL,Virginia Destroyers,Head Coach
