,Year,Tm,Role,Tms,WL%,T/G,Pts±,Yds±,Yds,Pts,GvA,Att,Yds Rushing Off,TD,Y/A,FL,Att Rushing Off,Yds Rushing Off Passing Off,TD Passing Off,Int,NY/A,Yds Passing Off,Pts Passing Off,TkA,Att Passing Off,Yds Passing Off Defense,TD Defense,Y/A Defense,FR,Att Defense,Yds Defense,TD Defense Rushing Def,Int Rushing Def,nY/A
0,2009,TAM,HC,32,30,22,29,27,28,30,29,25,23,31,25,1,22,24,21,31,26,27,27,10,29,32,21,32,17,2,10,26,9,22
1,,TAM,DC,32,30,22,29,27,28,30,29,25,23,31,25,1,22,24,21,31,26,27,27,10,29,32,21,32,17,2,10,26,9,22
2,2010,TAM,HC,32,8,5,15,16,19,20,6,13,8,24,6,24,23,17,11,2,11,17,9,13,20,28,16,31,20,11,7,13,8,11
3,,TAM,DC,32,8,5,15,16,19,20,6,13,8,24,6,24,23,17,11,2,11,17,9,13,20,28,16,31,20,11,7,13,8,11
4,2011,TAM,HC,32,28,32,31,31,21,27,32,32,30,23,16,30,7,16,26,29,22,30,32,17,28,32,32,31,14,4,21,29,20,31
5,2020,ATL,HC,32,29,13,18,25,18,16,9,20,27,22,31,11,4,5,13,9,17,29,19,18,2,6,13,14,12,30,32,27,14,29
6,,ATL,DC,32,29,13,18,25,18,16,9,20,27,22,31,11,4,5,13,9,17,29,19,18,2,6,13,14,12,30,32,27,14,29
7,2021,LAR,DC,32,3,13,6,12,9,7,17,23,25,28,25,2,10,5,2,27,2,17,15,10,17,6,23,5,26,27,22,2,3,15
8,2022,LAR,DC,32,27,16,28,30,32,27,17,26,27,16,27,7,24,27,28,22,29,19,21,17,14,13,10,13,28,12,21,14,7,24
