,Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% Playoffs,Rank,Num,Won,Notes
0,2023,40,ARI,NFL,17,4,13,0,.235,-5.4,-1.8,-3.7,,,,,4,1,1,
1,2024,41,ARI,NFL,17,8,9,0,.471,2.1,0.8,1.2,,,,,3,4,2,
