,Team Abbreviation,PF (Points For),Yds,Offensive Plays,Y/P,TO,FL+,1stD,Cmp Passing,Att Passing,Yds Passing,TD Passing,Int Passing,NY/A Passing,1stD Passing,Att Rushing,Yds Rushing,TD Rushing,Y/A Rushing,1stD Rushing,Pen,Yds Penalties,1stPy,#Dr,Sc%,TO%,Start Average Drive,Time Average Drive,Plays Average Drive,Yds Average Drive,Pts Average Drive,3DAtt,3DConv,3D%,4DAtt,4DConv,4D%,RZAtt,RZTD,RZPct
0,chi,246,3676.0,716.0,5.1,38.0,15,207.0,159,332,2193,16,23,6.6,113.0,384,1483,14,3.9,80.0,60,624,14.0,,,,,,,,,,,,,,,,,
1,cle,177,3135.0,689.0,4.6,26.0,8,188.0,107,226,1103,7,18,4.9,62.0,463,2032,13,4.4,108.0,61,529,18.0,,,,,,,,,,,,,,,,,
2,clt,322,4176.0,744.0,5.6,28.0,15,238.0,165,297,2260,22,13,7.6,115.0,447,1916,16,4.3,109.0,62,486,14.0,,,,,,,,,,,,,,,,,
3,crd,182,3599.0,765.0,4.7,45.0,12,211.0,129,287,1524,8,33,5.3,79.0,478,2075,14,4.3,117.0,60,543,15.0,,,,,,,,,,,,,,,,,
4,det,188,3408.0,670.0,5.1,40.0,12,181.0,138,297,1905,11,28,6.4,84.0,373,1503,9,4.0,81.0,48,519,16.0,,,,,,,,,,,,,,,,,
5,gnb,342,4710.0,772.0,6.1,29.0,8,246.0,144,260,2091,17,21,8.0,104.0,512,2619,20,5.1,129.0,52,493,13.0,,,,,,,,,,,,,,,,,
6,nyg,197,3081.0,712.0,4.3,33.0,16,188.0,149,297,1638,12,17,5.5,90.0,415,1443,10,3.5,82.0,56,495,16.0,,,,,,,,,,,,,,,,,
7,phi,215,3226.0,756.0,4.3,27.0,11,200.0,114,243,1333,15,16,5.5,69.0,513,1893,10,3.7,110.0,76,686,21.0,,,,,,,,,,,,,,,,,
8,pit,250,3186.0,702.0,4.5,40.0,22,167.0,128,234,1443,14,18,6.2,66.0,468,1743,14,3.7,93.0,69,606,8.0,,,,,,,,,,,,,,,,,
9,ram,307,4106.0,763.0,5.4,26.0,8,224.0,156,290,2162,17,18,7.5,100.0,473,1944,21,4.1,109.0,62,512,15.0,,,,,,,,,,,,,,,,,
10,sfo,284,4162.0,760.0,5.5,34.0,17,236.0,147,279,1970,12,17,7.1,103.0,481,2192,23,4.6,124.0,37,321,9.0,,,,,,,,,,,,,,,,,
11,was,225,3199.0,686.0,4.7,34.0,16,188.0,120,240,1629,11,18,6.8,83.0,446,1570,15,3.5,97.0,58,548,8.0,,,,,,,,,,,,,,,,,
