Year,Age,Level,Employer,Role
1999,25,College,Bucknell,WR Coach
2000,26,NFL Europe,Amsterdam Admiral,Strength & Conditioning/WRs
2001,27,College,Idaho State,Grad Asst/Sports Science
2002,28,College,Bucknell,WR Coach
2003,29,College,New Mexico Highlands,Head Coach/Asst AD
2004,30,College,New Mexico Highlands,Head Coach/Asst AD
2005,31,NFL,Baltimore Ravens,Asst. Special Teams Coach
2006,32,NFL,Baltimore Ravens,Asst. Special Teams Coach
2007,33,NFL,Baltimore Ravens,Asst. Special Teams Coach
2008,34,NFL,Oakland Raiders,Special Teams Coordinator
2009,35,NFL,Oakland Raiders,Special Teams Coordinator
2010,36,NFL,Oakland Raiders,Special Teams Coordinator
2011,37,NFL,Oakland Raiders,Special Teams Coordinator
2012,38,NFL,St. Louis Rams,Special Teams Coordinator
2013,39,NFL,St. Louis Rams,Special Teams Coordinator
2014,40,NFL,St. Louis Rams,Special Teams Coordinator
2015,41,NFL,St. Louis Rams,Special Teams Coordinator
2016,42,NFL,Los Angeles Rams,Special Teams Coordinator/Interim Head Coach
2017,43,NFL,Los Angeles Rams,Special Teams Coordinator
2018,44,NFL,Los Angeles Rams,Special Teams Coordinator
2019,45,NFL,Los Angeles Rams,Special Teams Coordinator
2020,46,NFL,Dallas Cowboys,Special Teams Coordinator
2021,47,NFL,Dallas Cowboys,Special Teams Coordinator
2022,48,NFL,Dallas Cowboys,Special Teams Coordinator
2023,49,NFL,Dallas Cowboys,Special Teams Coordinator
2024,50,NFL,Dallas Cowboys,Special Teams Coordinator
2025,51,NFL,Tennessee Titans,Special Teams Coordinator
