,Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% Playoffs,Rank,Notes
0,1930,50,Chicago Bears,NFL,14,9,4,1,.692,7.8,0.9,6.9,,,,,3,
1,1931,51,Chicago Bears,NFL,13,8,5,0,.615,5.6,1.1,4.5,,,,,3,
2,1932,52,Chicago Bears,NFL,14,7,1,6,.875,7.8,2.7,5.1,,,,,1,NFL Champions
