Year,Tm,Role,Tms,WL%,T/G,Pts±,Yds±,Yds,Pts,GvA,Att,Yds Rushing Off,TD,Y/A,FL,Att Passing Off,Yds Defense,TD Rushing Def,Int,NY/A,Yds Passing Def,Pts_2,TkA,Att_2,Yds_5,TD_2,Y/A_1,FR,Att_3,Yds_6,TD_3,Int_1,nY/A
1930,CHI,HC,11,3,1,4,1,1,5,1,1,1,2,1,1,1,1,7,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1
1931,CHI,HC,10,3,1,3,1,1,4,1,1,1,4,1,1,1,1,3,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1
1932,CHI,HC,8,1,2,1,3,3,1,2,2,3,1,4,1,5,2,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
