Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% Playoffs,Rank,Notes
1966,42,STL,NFL,14,8,5,1,.615,-2.3,-5.7,3.4,,,,,4,
1967,43,STL,NFL,14,6,7,1,.462,-2.4,1.4,-3.8,,,,,3,
1968,44,STL,NFL,14,9,4,1,.692,1.8,1.7,0.1,,,,,2,
1969,45,STL,NFL,14,4,9,1,.308,-7.0,0.8,-7.8,,,,,3,
1970,46,STL,NFL,14,8,5,1,.615,7.4,3.8,3.6,,,,,3,
1974,50,NYJ,NFL,14,7,7,0,.500,-2.5,1.1,-3.7,,,,,4,
1975,51,NYJ,NFL,9,2,7,0,.222,-8.3,-1.2,-7.1,,,,,4,
