,Team Abreviation,PF (Points For),Yds,Offensive Plays,Y/P,TO,FL+,1stD,Cmp Passing,Att Passing,Yds Passing,TD Passing,Int Passing,NY/A Passing,1stD Passing,Att Rushing,Yds Rushing,TD Rushing,Y/A Rushing,1stD Rushing,Pen,Yds Penalties,1stPy,#Dr,Sc%,TO%,Start Average Drive,Time Average Drive,Plays Average Drive,Yds Average Drive,Pts Average Drive,3DAtt,3DConv,3D%,4DAtt,4DConv,4D%,RZAtt,RZTD,RZPct
0,buf,272,4429.0,845.0,5.2,50.0,14,229.0,215,440,2742,24,36,5.8,129.0,373,1687,10,4.5,89.0,80,786,11.0,,,,,,,,,,,,,,,,,
1,chi,287,4147.0,801.0,5.2,47.0,24,228.0,170,363,2074,14,23,5.7,101.0,438,2073,17,4.7,108.0,65,643,19.0,,,,,,,,,,,,,,,,,
2,cle,257,3924.0,807.0,4.9,37.0,13,263.0,189,341,1984,15,24,5.8,125.0,466,1940,17,4.2,122.0,53,547,16.0,,,,,,,,,,,,,,,,,
3,clt,288,4123.0,804.0,5.1,42.0,19,226.0,206,381,2619,19,23,6.9,119.0,423,1504,17,3.6,91.0,71,792,16.0,,,,,,,,,,,,,,,,,
4,crd,361,4711.0,829.0,5.7,31.0,15,251.0,196,377,2987,21,16,7.9,141.0,452,1724,18,3.8,93.0,63,584,17.0,,,,,,,,,,,,,,,,,
5,dal,402,5184.0,824.0,6.3,36.0,16,274.0,233,437,3674,33,20,8.4,166.0,387,1510,17,3.9,93.0,56,569,15.0,,,,,,,,,,,,,,,,,
6,den,334,4538.0,887.0,5.1,46.0,19,234.0,202,423,2670,24,27,6.0,131.0,439,1868,11,4.3,88.0,76,678,15.0,,,,,,,,,,,,,,,,,
7,det,177,3217.0,720.0,4.5,47.0,23,180.0,187,367,1986,11,24,5.4,105.0,353,1231,6,3.5,62.0,51,527,13.0,,,,,,,,,,,,,,,,,
8,gnb,148,3277.0,759.0,4.3,50.0,19,191.0,187,355,1746,10,31,4.9,94.0,404,1531,4,3.8,88.0,54,611,9.0,,,,,,,,,,,,,,,,,
9,kan,233,3951.0,846.0,4.7,48.0,16,239.0,239,467,2701,13,32,5.5,143.0,351,1250,14,3.6,76.0,64,660,20.0,,,,,,,,,,,,,,,,,
10,min,410,5101.0,860.0,5.9,43.0,18,266.0,214,397,3123,29,25,7.9,139.0,463,1978,20,4.3,119.0,68,633,8.0,,,,,,,,,,,,,,,,,
11,nwe,295,4534.0,877.0,5.2,35.0,10,220.0,216,450,3108,19,25,6.4,136.0,393,1426,14,3.6,68.0,62,554,16.0,,,,,,,,,,,,,,,,,
12,nyg,283,4546.0,863.0,5.3,39.0,13,256.0,223,450,2869,21,26,6.4,136.0,413,1677,13,4.1,100.0,58,636,20.0,,,,,,,,,,,,,,,,,
13,nyj,423,4612.0,905.0,5.1,45.0,16,253.0,194,417,2606,28,29,5.8,122.0,452,2006,19,4.4,103.0,73,711,28.0,,,,,,,,,,,,,,,,,
14,oti,270,4130.0,880.0,4.7,52.0,17,217.0,213,486,2561,18,35,4.9,126.0,362,1569,10,4.3,75.0,65,559,16.0,,,,,,,,,,,,,,,,,
15,phi,356,5046.0,889.0,5.7,39.0,13,275.0,198,363,2920,16,26,8.0,129.0,526,2126,23,4.0,128.0,48,479,18.0,,,,,,,,,,,,,,,,,
16,pit,363,4625.0,801.0,5.8,38.0,10,250.0,223,438,3206,34,28,7.3,157.0,363,1419,13,3.9,78.0,53,581,15.0,,,,,,,,,,,,,,,,,
17,rai,370,4746.0,872.0,5.4,47.0,18,233.0,169,371,2306,21,29,5.9,106.0,478,2440,21,5.1,115.0,75,720,12.0,,,,,,,,,,,,,,,,,
18,ram,334,4981.0,880.0,5.7,37.0,18,256.0,217,379,2889,25,19,7.6,124.0,501,2092,14,4.2,119.0,52,592,13.0,,,,,,,,,,,,,,,,,
19,sdg,392,4518.0,883.0,5.1,42.0,13,248.0,196,402,2615,29,29,5.9,120.0,437,1903,16,4.4,105.0,65,709,23.0,,,,,,,,,,,,,,,,,
20,sfo,331,4549.0,760.0,6.0,26.0,14,240.0,164,296,2308,17,12,7.8,113.0,464,2241,22,4.8,107.0,57,626,20.0,,,,,,,,,,,,,,,,,
21,was,376,5238.0,823.0,6.4,48.0,20,280.0,247,412,3602,35,28,8.7,165.0,411,1636,12,4.0,95.0,83,863,20.0,,,,,,,,,,,,,,,,,
