Year,Age,Level,Employer,Role
1923,26,NFL,Columbus Tigers,Head Coach
1924,27,College,NC State,Assistant Coach
1925,28,College,NC State,Head Coach
1926,29,College,NC State,Head Coach
1927,30,College,NC State,Head Coach
1928,31,College,NC State,Head Coach
1929,32,College,NC State,Head Coach
1930,33,College,Virginia,Assistant Coach
1931,34,College,Virginia,Assistant Coach
1932,35,College,Virginia,Assistant Coach
1933,36,College,Virginia,Assistant Coach
1934,37,College,Virginia,Head Coach
1935,38,College,Virginia,Head Coach
1936,39,College,Virginia,Head Coach
