,Year,Tm,Role,Tms,WL%,T/G,Pts±,Yds±,Yds,Pts,GvA,Att,Yds Rushing Off,TD,Y/A,FL,Att Rushing Off,Yds Rushing Off Passing Off,TD Passing Off,Int,NY/A,Yds Passing Off,Pts Passing Off,TkA,Att Passing Off,Yds Passing Off Defense,TD Defense,Y/A Defense,FR,Att Defense,Yds Defense,TD Defense Rushing Def,Int Rushing Def,nY/A
0,2005,BAL,DC,32,19,28,18,17,24,25,28,16,21,30,27,26,8,22,23,27,27,5,10,21,13,9,3,8,5,18,8,9,25,2
1,2006,BAL,DC,32,2,1,3,6,17,12,6,11,25,22,31,6,13,11,13,11,8,1,1,2,2,2,1,2,14,13,6,5,1,2
2,2007,BAL,DC,32,25,32,26,16,22,24,32,13,16,18,17,32,13,23,28,6,29,6,22,26,17,2,7,1,31,6,20,26,14,30
3,2008,BAL,DC,32,6,3,1,5,18,11,8,1,4,5,22,11,30,28,22,9,17,2,3,1,1,3,1,5,20,21,2,7,1,3
4,2009,NYJ,HC,32,11,16,7,5,20,17,20,1,1,3,5,7,32,31,29,28,21,1,1,8,11,8,11,4,4,7,1,1,13,1
5,2010,NYJ,HC,32,5,5,8,6,11,13,8,2,4,9,8,5,18,22,23,12,22,3,6,8,10,3,12,3,2,15,6,19,25,4
6,2011,NYJ,HC,32,13,19,15,15,25,13,29,16,22,12,30,30,17,21,9,23,25,5,20,5,21,13,27,7,4,8,5,2,10,7
7,2012,NYJ,HC,32,23,29,26,23,30,28,30,6,12,13,23,31,25,30,29,28,29,8,20,18,30,26,26,21,8,3,2,10,23,9
8,2013,NYJ,HC,32,14,30,26,21,25,29,22,5,6,18,10,5,29,31,32,28,26,11,19,31,9,3,6,1,32,22,22,19,22,18
9,2014,NYJ,HC,32,27,29,26,18,22,28,19,4,3,17,8,13,27,32,30,16,30,6,24,32,7,5,11,6,23,7,14,30,30,18
10,2015,BUF,HC,32,14,8,13,14,13,12,8,2,1,1,1,18,31,28,20,5,12,19,15,12,9,16,10,25,22,24,19,22,6,14
11,2016,BUF,HC,32,21,7,14,20,16,10,3,2,1,1,1,3,32,30,27,4,25,19,16,23,29,29,31,28,24,1,6,4,18,21
