Year,Tm,Role,Tms,WL%,T/G,Pts±,Yds±,Yds,Pts,GvA,Att,Yds Rushing Off,TD,Y/A,FL,Att Passing Off,Yds Defense,TD Rushing Def,Int,NY/A,Yds Passing Def,Pts_2,TkA,Att_2,Yds_5,TD_2,Y/A_1,FR,Att_3,Yds_6,TD_3,Int_1,nY/A
1961,STL,HC,14,9,5,7,12,13,10,8,12,13,13,12,9,9,14,7,6,12,5,4,5,12,6,2,1,3,10,3,4,7,5
1962,STL,DC,14,11,14,11,7,3,10,13,9,8,2,6,13,1,4,10,12,8,9,10,13,9,8,11,4,9,7,10,8,13,9
1963,STL,DC,14,5,7,6,4,4,4,9,7,5,12,3,10,1,4,2,6,7,5,6,6,11,10,13,5,3,4,4,3,10,5
1964,STL,DC,14,3,6,5,3,2,3,9,4,7,8,9,5,4,3,7,11,4,8,11,5,2,9,5,13,9,8,8,8,2,9
1965,STL,DC,14,11,8,8,6,6,9,5,7,7,10,9,1,2,4,10,11,7,9,7,9,10,10,3,10,7,6,5,9,10,7
1966,STL,DC,15,6,10,6,8,13,11,8,6,9,12,14,13,11,13,12,5,15,1,6,11,2,2,5,1,13,13,3,7,8,3
1967,STL,DC,16,9,16,10,6,4,8,16,6,8,6,8,5,7,5,8,16,5,10,12,12,5,5,8,6,9,4,10,14,12,15
1968,STL,DC,16,5,14,7,10,7,4,4,6,4,1,5,1,6,11,12,9,9,12,8,15,4,4,5,6,15,11,14,12,15,11
1969,STL,DC,16,13,10,12,16,9,5,9,14,15,1,12,1,6,8,12,12,6,16,14,11,9,6,7,6,7,16,16,16,13,15
1970,STL,DC,26,10,11,4,5,3,4,13,19,6,1,1,10,13,9,13,10,7,10,5,11,21,16,9,12,17,16,7,11,12,5
1972,STL,DC,26,19,23,21,24,25,23,24,25,26,22,26,16,15,18,20,19,18,25,18,19,25,20,7,11,8,19,25,12,23,22
