,Year,PF (Points For),Yds,Offensive Plays,Y/P,TO,FL+,1stD,Cmp Passing,Att Passing,Yds Passing,TD Passing,Int Passing,NY/A Passing,1stD Passing,Att Rushing,Yds Rushing,TD Rushing,Y/A Rushing,1stD Rushing,Pen,Yds Penalties,1stPy,#Dr,Sc%,TO%,Start Average Drive,Time Average Drive,Plays Average Drive,Yds Average Drive,Pts Average Drive,3DAtt,3DConv,3D%,4DAtt,4DConv,4D%,RZAtt,RZTD,RZPct
0,1929,136,,,,,0,,0,0,0,0,0,,,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,
1,1928,131,,,,,0,,0,0,0,0,0,,,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,
2,1927,57,,,,,0,,0,0,0,0,0,,,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,
3,1926,82,,,,,0,,0,0,0,0,0,,,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,
4,1925,84,,,,,0,,0,0,0,0,0,,,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,
5,1924,148,,,,,0,,0,0,0,0,0,,,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,
6,1923,95,,,,,0,,0,0,0,0,0,,,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,
7,1922,62,,,,,0,,0,0,0,0,0,,,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,
8,1921,67,,,,,0,,0,0,0,0,0,,,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,
9,1920,54,,,,,0,,0,0,0,0,0,,,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,
