,Year,Lg,Tm,W,L,T,Div. Finish,Playoffs,PF,PA,PD,Coaches,AV,Passer,Rusher,Receiver,Pts,Yds,Pts Def Rank,Yds Def Rank,T/G,Pts±,Yds±,out of,MoV,SoS,SRS,OSRS,DSRS
0,1929,NFL,Dayton Triangles,0,6,0,12th of 12,,7,136,-129,Abbott,,,,,12,1,12,1,1,12,1,12,-21.5,5.3,-16.2,-4.9,-11.3
1,1928,NFL,Dayton Triangles,0,7,0,10th of 10,,9,131,-122,Abbott,,,,,9,1,10,1,1,10,1,10,-17.4,7.0,-10.4,-4.5,-6.0
2,1927,NFL,Dayton Triangles,1,6,1,10th of 12,,15,57,-42,Mahrt,,,,,11,1,5,1,1,8,1,12,-5.3,3.8,-1.5,-4.8,3.3
3,1926,NFL,Dayton Triangles,1,4,1,16th of 22,,15,82,-67,Storck,,,,,19,1,19,1,1,19,1,22,-11.2,3.8,-7.4,-2.3,-5.0
4,1925,NFL,Dayton Triangles,0,7,1,16th of 20,,3,84,-81,Storck,,,,,20,1,14,1,1,16,1,20,-10.1,8.9,-1.3,-3.3,2.0
5,1924,NFL,Dayton Triangles,2,6,0,13th of 18,,45,148,-103,Storck,,,,,13,1,16,1,1,15,1,18,-12.9,5.2,-7.7,-3.1,-4.6
6,1923,NFL,Dayton Triangles,1,6,1,16th of 20,,16,95,-79,Storck,,,,,16,1,17,1,1,17,1,20,-9.9,8.3,-1.6,-0.8,-0.8
7,1922,NFL,Dayton Triangles,4,3,1,7th of 18,,80,62,18,Storck,,,,,7,1,9,1,1,9,1,18,2.3,1.2,3.4,1.9,1.5
8,1921,APFA,Dayton Triangles,4,4,1,8th of 21,,96,67,29,Talbot,,,,,8,1,8,1,1,8,1,21,3.2,2.5,5.7,2.0,3.7
9,1920,APFA,Dayton Triangles,5,2,2,6th of 14,,150,54,96,Talbot,,,,,3,1,9,1,1,6,1,14,10.7,-0.5,10.2,7.0,3.2
