Year,Tm,Role,Tms,WL%,T/G,Pts±,Yds±,Yds,Pts,GvA,Att,Yds Rushing Off,TD,Y/A,FL,Att Passing Off,Yds Defense,TD Rushing Def,Int,NY/A,Yds Passing Def,Pts_2,TkA,Att_2,Yds_5,TD_2,Y/A_1,FR,Att_3,Yds_6,TD_3,Int_1,nY/A
1960,BOS,HC,8,7,4,6,7,7,8,3,8,7,7,5,8,2,7,3,2,7,4,5,4,7,5,6,3,2,2,5,1,5,6
1961,BOS,HC,8,3,2,3,4,4,2,1,6,4,6,2,1,7,5,2,1,4,3,3,6,2,1,2,1,2,6,8,6,8,5
1962,BUF,HC,8,4,2,4,5,5,6,3,1,1,2,2,2,7,8,7,3,6,3,3,2,3,4,1,7,6,5,7,5,1,4
1963,BUF,HC,8,3,5,5,2,2,5,4,1,2,1,4,5,3,2,8,3,2,3,5,8,1,2,3,5,8,6,6,5,6,4
1964,BUF,HC,8,1,7,1,1,1,1,8,1,1,1,3,6,8,3,5,8,1,1,1,6,1,1,1,1,4,7,4,5,6,2
1965,BUF,HC,8,2,1,2,7,7,3,2,4,6,1,7,5,4,7,8,4,6,6,1,1,2,2,1,1,1,8,8,4,1,7
1967,DEN,HC,9,9,3,8,9,9,7,3,4,9,6,9,5,8,8,6,1,9,9,9,3,8,8,9,9,4,5,8,7,3,8
1968,DEN,HC,10,7,7,8,7,7,7,7,9,7,8,6,5,4,6,4,7,7,10,9,8,6,7,9,7,7,7,10,9,7,9
1969,DEN,HC,10,6,7,6,7,6,4,2,7,6,4,4,2,6,5,2,6,5,8,8,10,6,7,8,6,7,9,10,5,10,5
1970,DEN,HC,26,18,21,16,11,18,18,22,15,9,2,9,7,8,19,23,24,25,7,12,16,7,3,4,4,5,15,18,22,21,9
1971,DEN,HC,26,21,12,18,9,11,24,15,2,10,20,13,4,15,17,26,21,14,10,11,8,7,14,10,19,5,14,5,21,15,5
1972,BUF,HC,26,19,19,22,21,18,19,24,7,6,18,11,14,20,24,12,23,25,17,24,15,22,22,25,17,25,2,7,20,7,16
1973,BUF,HC,26,9,8,12,10,10,15,4,2,1,1,1,6,26,26,26,8,24,14,10,12,5,7,10,10,3,19,17,9,21,16
1974,BUF,HC,26,8,11,12,10,23,12,7,5,9,18,14,14,26,25,12,7,15,5,12,16,16,14,22,13,19,3,3,4,12,4
1975,BUF,HC,26,11,4,11,9,1,1,8,3,1,3,1,10,19,8,1,13,4,24,21,1,9,14,21,20,5,24,26,23,6,24
1976,BUF,HC,28,26,16,23,16,12,20,24,9,3,19,2,28,10,18,14,13,22,23,24,7,18,23,22,26,4,5,20,20,12,23
