Year,Age,Level,Employer,Role
1950,29,College,Case Tech,Head Coach
1951,30,College,Case Tech,Head Coach
1952,31,College,Case Tech,Head Coach
1953,32,College,Univ. of Washington,Assistant Coach
1954,33,College,Northwestern,Assistant Coach
1955,34,College,Northwestern,Head Coach
1957,36,College,Western Illinois,Head Coach
1958,37,College,Western Illinois,Head Coach
1959,38,College,Western Illinois,Head Coach
1960,39,AFL,Boston Patriots,Head Coach
1961,40,AFL,Boston Patriots,Head Coach
1962,41,AFL,Buffalo Bills,Head Coach
1963,42,AFL,Buffalo Bills,Head Coach
1964,43,AFL,Buffalo Bills,Head Coach
1965,44,AFL,Buffalo Bills,Head Coach
1966,45,College,Maryland,Head Coach
1967,46,AFL,Denver Broncos,Head Coach
1968,47,AFL,Denver Broncos,Head Coach
1969,48,AFL,Denver Broncos,Head Coach
1970,49,NFL,Denver Broncos,Head Coach
1971,50,NFL,Denver Broncos,Head Coach
1972,51,NFL,Buffalo Bills,Head Coach
1973,52,NFL,Buffalo Bills,Head Coach
1974,53,NFL,Buffalo Bills,Head Coach
1975,54,NFL,Buffalo Bills,Head Coach
1976,55,NFL,Buffalo Bills,Head Coach
1977,56,College,Miami (FL),Head Coach
1978,57,College,Miami (FL),Head Coach
1979,58,College,Army,Head Coach
1983,62,College,Central Florida,Head Coach
1984,63,College,Central Florida,Head Coach
