,Year,Tm,Role,Tms,WL%,T/G,Pts±,Yds±,Yds,Pts,GvA,Att,Yds Rushing Off,TD,Y/A,FL,Att Rushing Off,Yds Rushing Off Passing Off,TD Passing Off,Int,NY/A,Yds Passing Off,Pts Passing Off,TkA,Att Passing Off,Yds Passing Off Defense,TD Defense,Y/A Defense,FR,Att Defense,Yds Defense,TD Defense Rushing Def,Int Rushing Def,nY/A
0,1972,PHI,DC,26,24,22,24,23,24,26,21,22,24,26,25,20,10,17,21,14,21,24,22,19,23,23,23,16,25,6,23,23,12,25
1,1973,PHI,DC,26,16,11,20,17,2,8,5,24,20,20,8,13,1,1,2,6,8,25,25,20,17,24,25,25,16,20,25,24,18,25
2,1974,PHI,DC,26,11,7,10,21,22,16,7,24,25,13,23,8,1,12,12,9,21,18,7,11,8,11,11,14,5,26,21,2,14,14
3,1975,PHI,DC,26,18,6,19,17,17,21,12,20,21,26,22,5,1,9,7,17,17,20,16,2,17,20,19,21,9,23,22,5,5,18
4,1976,NYJ,DC,28,24,27,27,26,25,26,28,24,20,21,4,27,6,24,28,27,25,25,26,15,26,26,13,23,6,17,21,26,22,21
5,1977,NYJ,HC,28,24,26,25,26,19,22,20,28,26,24,18,8,13,15,14,24,17,26,24,25,22,23,18,17,9,22,28,28,26,25
6,1978,NYJ,HC,28,15,10,10,25,12,3,10,14,15,4,13,2,18,13,8,21,8,27,27,16,20,26,21,25,14,24,23,23,11,22
7,1979,NYJ,HC,28,16,11,19,22,9,13,13,1,1,7,8,4,27,21,20,22,6,26,25,12,5,3,5,3,7,28,28,28,15,26
8,1980,NYJ,HC,28,25,23,23,25,20,18,20,23,18,10,10,5,15,16,19,28,17,22,24,22,15,13,23,14,28,27,26,24,14,20
9,1981,NYJ,HC,28,5,9,9,9,15,9,4,5,6,21,11,9,11,19,6,3,21,5,8,17,3,7,21,13,22,14,8,5,13,4
10,1982,NYJ,HC,28,5,2,2,3,4,3,7,8,4,3,2,10,15,7,4,3,9,6,10,5,13,11,2,8,14,22,9,8,4,6
