Year,Age,Level,Employer,Role
1979,23,College (FBS),Missouri,Assistant Coach
1980,24,College (FBS),Missouri,Assistant Coach
1981,25,College (FCS),Weber State,Assistant Coach
1982,26,College (FCS),Weber State,Assistant Coach
1983,27,College (FCS),Weber State,Defensive Coordinator
1984,28,College (FCS),Weber State,Defensive Coordinator
1985,29,College (FCS),Weber State,Defensive Coordinator
1986,30,College (FCS),Weber State,Defensive Coordinator
1987,31,College (FCS),Weber State,Defensive Coordinator
1988,32,College (FCS),Weber State,Defensive Coordinator
1989,33,College (FBS),Washington State,Defensive Coordinator
1990,34,College (FBS),Washington State,Defensive Coordinator
1991,35,College (FBS),Washington State,Defensive Coordinator
1992,36,College (FBS),Washington State,Defensive Coordinator
1993,37,College (FBS),Washington State,Defensive Coordinator
1994,38,NFL,Dallas Cowboys,Assistant Coach
1995,39,NFL,Dallas Cowboys,Defensive Backs Coach
1996,40,NFL,Dallas Cowboys,Defensive Backs Coach
1997,41,NFL,Dallas Cowboys,Defensive Backs Coach
1998,42,NFL,Dallas Cowboys,Defensive Backs Coach
1999,43,NFL,Dallas Cowboys,Defensive Backs Coach
2000,44,NFL,Dallas Cowboys,Defensive Coordinator
2001,45,NFL,Dallas Cowboys,Defensive Coordinator
2002,46,NFL,Dallas Cowboys,Defensive Coordinator
2003,47,NFL,Dallas Cowboys,Defensive Coordinator
2004,48,NFL,Dallas Cowboys,Defensive Coordinator
2005,49,NFL,Dallas Cowboys,Defensive Coordinator
2006,50,NFL,Dallas Cowboys,Defensive Coordinator
2007,51,NFL,Atlanta Falcons,Defensive Coordinator
2008,52,NFL,Cincinnati Bengals,Defensive Coordinator
2009,53,NFL,Cincinnati Bengals,Defensive Coordinator
2010,54,NFL,Cincinnati Bengals,Defensive Coordinator
2011,55,NFL,Cincinnati Bengals,Defensive Coordinator
2012,56,NFL,Cincinnati Bengals,Defensive Coordinator
2013,57,NFL,Cincinnati Bengals,Defensive Coordinator
2014,58,NFL,Minnesota Vikings,Head Coach
2015,59,NFL,Minnesota Vikings,Head Coach
2016,60,NFL,Minnesota Vikings,Head Coach
2017,61,NFL,Minnesota Vikings,Head Coach
2018,62,NFL,Minnesota Vikings,Head Coach
2019,63,NFL,Minnesota Vikings,Head Coach
2020,64,NFL,Minnesota Vikings,Head Coach
2021,65,NFL,Minnesota Vikings,Head Coach
2022,66,College (FCS),Jackson State,Defensive Analyst/Consultant
2023,67,College (FBS),Colorado,Defensive Analyst/Consultant
2024,68,NFL,Dallas Cowboys,Defensive Coordinator
