,Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% Playoffs,Rank,Num,Won,Notes
0,2014,58,Minnesota Vikings,NFL,16,7,9,0,.438,-1.7,-2.8,1.1,,,,,3,3,1,
1,2015,59,Minnesota Vikings,NFL,16,11,5,0,.688,5.8,1.1,4.7,1,0,1,.000,1,7,2,
2,2016,60,Minnesota Vikings,NFL,16,8,8,0,.500,0.9,-2.6,3.6,,,,,3,6,3,
3,2017,61,Minnesota Vikings,NFL,16,13,3,0,.813,9.1,2.3,6.8,2,1,1,.500,1,7,5,
4,2018,62,Minnesota Vikings,NFL,16,8,7,1,.531,0.6,-1.2,1.8,,,,,2,5,1,
5,2019,63,Minnesota Vikings,NFL,16,10,6,0,.625,5.4,2.5,2.9,2,1,1,.500,2,10,7,
6,2020,64,Minnesota Vikings,NFL,3,0,3,0,.000,-2.9,1.6,-4.4,,,,,4,1,1,
