,Year,Tm,Role,Tms,WL%,T/G,Pts±,Yds±,Yds,Pts,GvA,Att,Yds Rushing Off,TD,Y/A,FL,Att Rushing Off,Yds Rushing Off Passing Off,TD Passing Off,Int,NY/A,Yds Passing Off,Pts Passing Off,TkA,Att Passing Off,Yds Passing Off Defense,TD Defense,Y/A Defense,FR,Att Defense,Yds Defense,TD Defense Rushing Def,Int Rushing Def,nY/A
0,2000,DAL,DC,31,24,28,24,25,25,23,28,13,12,9,13,28,28,28,25,25,21,19,22,20,29,31,25,31,25,1,3,15,18,12
1,2001,DAL,DC,31,26,24,27,19,29,30,22,3,3,26,7,23,31,31,27,20,29,4,20,23,23,13,19,8,5,6,3,16,30,11
2,2002,DAL,DC,32,27,20,28,28,30,31,24,22,19,30,15,27,28,31,31,17,30,18,13,11,24,15,5,3,17,28,19,17,8,13
3,2003,DAL,DC,32,8,22,15,2,15,21,17,4,12,20,24,6,20,17,20,26,18,1,2,20,6,3,3,4,13,8,1,9,25,4
4,2004,DAL,DC,32,21,28,29,16,14,25,27,14,20,13,22,25,17,15,20,31,17,16,27,25,10,10,20,17,25,13,21,29,24,26
5,2005,DAL,DC,32,14,19,15,13,13,15,24,5,13,14,26,21,18,15,9,22,14,10,12,21,9,15,17,24,17,12,11,9,19,16
6,2006,DAL,DC,32,9,15,7,9,5,4,20,12,13,3,15,6,20,5,5,26,4,13,20,8,9,10,11,8,10,14,24,27,10,23
7,2007,ATL,DC,32,27,10,30,27,23,29,7,29,26,28,20,8,14,18,20,11,24,29,29,17,26,26,17,22,13,14,23,26,17,26
8,2008,CIN,DC,32,27,20,30,26,32,32,16,21,29,31,30,18,16,30,30,16,32,12,19,17,27,21,20,10,10,13,15,23,21,19
9,2009,CIN,DC,32,8,18,16,16,24,22,12,4,9,22,24,22,27,26,16,7,20,4,6,19,7,7,14,7,29,22,6,8,9,7
10,2010,CIN,DC,32,29,25,26,18,20,22,27,15,27,29,32,25,5,13,11,23,16,15,24,17,13,19,24,21,17,9,14,7,14,24
11,2011,CIN,DC,32,10,17,13,13,20,18,9,10,19,21,27,10,20,20,13,12,17,7,9,22,14,10,20,8,4,18,9,9,26,4
12,2012,CIN,DC,32,9,11,10,11,22,12,17,17,18,18,20,17,19,17,7,18,19,6,8,8,15,12,18,11,3,18,7,4,16,6
13,2013,CIN,DC,32,6,13,4,4,10,6,25,8,18,13,28,16,12,8,3,24,9,3,5,3,5,5,4,15,11,28,5,11,5,2
14,2014,MIN,HC,32,20,18,18,24,27,20,6,18,14,14,11,1,22,28,29,26,27,14,11,25,24,25,11,24,27,5,7,17,18,14
15,2015,MIN,HC,32,6,10,9,21,29,16,4,4,4,4,4,7,32,31,31,5,25,13,5,19,14,17,3,21,16,15,12,11,17,12
16,2016,MIN,HC,32,17,4,15,18,28,23,7,25,32,26,32,24,12,18,21,2,21,3,6,7,14,20,3,17,4,10,3,11,12,2
17,2017,MIN,HC,32,1,12,5,1,11,10,3,2,7,7,23,7,21,11,12,2,9,1,1,23,3,2,9,5,29,19,2,1,13,2
18,2018,MIN,HC,32,15,19,12,7,20,19,16,27,30,27,25,21,6,13,10,8,18,4,9,16,22,15,15,8,16,5,3,1,18,4
19,2019,MIN,HC,32,8,5,7,13,16,8,13,4,6,6,12,26,30,23,14,5,5,14,5,4,11,13,3,19,5,28,15,13,3,7
20,2020,MIN,HC,32,25,31,28,31,22,18,29,24,8,7,1,9,31,28,13,31,16,30,31,24,30,26,20,12,26,18,30,11,13,30
