,Year,Lg,Tm,W,L,T,Div. Finish,Playoffs,PF,PA,PD,Coaches,AV,Passer,Rusher,Receiver,Pts,Yds,Pts Def Rank,Yds Def Rank,T/G,Pts±,Yds±,out of,MoV,SoS,SRS,OSRS,DSRS
0,1921,APFA,Cleveland Indians,3,5,0,11th of 21,,95,58,37,Thorpe,,,,,5,1,7,1,1,7,1,21,4.6,-3.4,1.2,-3.1,4.3
1,1920,APFA,Cleveland Tigers,2,4,2,10th of 14,,28,46,-18,"Pierotti,Cofall",,,,,13,1,8,1,1,10,1,14,-2.3,11.4,9.2,-1.6,10.8
