,Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% Playoffs,Rank,Notes
0,1929,29,FRN,NFL,19,10,4,5,.714,0.1,-2.6,2.7,,,,,3,
1,1930,30,FRN,NFL,13,2,10,1,.167,-10.5,-3.4,-7.2,,,,,9,
2,1931,31,FRN,NFL,8,1,6,1,.143,-8.8,-7.3,-1.5,,,,,9,
