,Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% Playoffs,Rank,Num,Won,Notes
0,2019,40,Green Bay Packers,NFL,16,13,3,0,.813,3.2,0.6,2.6,2,1,1,.500,1,10,5,
1,2020,41,Green Bay Packers,NFL,3,3,0,0,1.000,13.0,13.8,-0.8,,,,,1,1,0,
