Year,Tm,Role,Tms,WL%,T/G,Pts±,Yds±,Yds,Pts,GvA,Att,Yds Rushing Off,TD,Y/A,FL,Att Passing Off,Yds Defense,TD Rushing Def,Int,NY/A,Yds Passing Def,Pts_2,TkA,Att_2,Yds_5,TD_2,Y/A_1,FR,Att_3,Yds_6,TD_3,Int_1,nY/A
1999,STL,OC,31,2,9,1,1,1,1,13,15,5,10,2,24,19,1,1,7,1,6,4,6,1,1,1,6,27,29,20,7,2,6
2000,STL,HC,31,9,26,10,1,1,1,24,25,17,1,2,14,3,1,1,28,1,23,31,20,4,13,27,25,30,17,27,30,11,28
2001,STL,HC,31,1,26,1,1,1,1,31,22,5,1,1,31,12,1,1,24,1,3,7,9,2,3,17,11,9,21,11,7,8,6
2002,STL,HC,32,20,32,25,11,13,23,32,32,30,21,20,27,1,2,11,32,11,13,23,22,18,14,17,13,9,2,12,2,24,26
2003,STL,HC,32,3,7,3,12,9,2,32,28,30,4,28,28,2,3,11,31,11,16,17,1,5,20,4,29,1,16,12,22,4,11
2004,STL,HC,32,14,32,25,8,6,19,29,30,25,17,13,28,5,5,13,28,10,17,25,31,23,29,17,25,25,9,11,19,32,15
2005,STL,HC,32,19,28,21,22,9,11,29,29,22,14,13,17,4,4,9,30,10,30,31,18,20,28,30,32,8,15,23,30,24,25
2006,DET,OC,32,31,29,27,24,22,21,30,32,32,23,27,30,2,7,13,27,18,28,30,10,26,21,27,15,3,14,25,20,25,29
2007,DET,OC,32,18,17,24,29,19,16,27,32,31,13,19,23,4,9,17,30,17,32,32,3,18,23,31,23,2,30,31,31,14,25
2008,SFO,OC,32,22,31,23,23,23,22,32,27,27,25,21,32,18,13,13,26,18,13,23,28,21,13,15,8,28,24,20,21,21,15
2010,CHI,OC,32,5,11,10,22,30,21,21,21,22,21,23,13,32,28,20,25,25,9,4,3,4,2,20,6,5,27,20,2,5,8
2011,CHI,OC,32,13,11,16,26,24,17,23,9,9,21,10,16,27,26,24,25,23,17,14,5,6,5,6,10,7,31,28,13,6,13
