,Year,Lg,Tm,W,L,T,Div. Finish,Playoffs,PF,PA,PD,Coaches,AV,Passer,Rusher,Receiver,Pts,Yds,Pts Def Rank,Yds Def Rank,T/G,Pts±,Yds±,out of,MoV,SoS,SRS,OSRS,DSRS
0,1926,NFL,Kansas City Cowboys,8,3,0,4th of 22,,76,53,23,Andrews,,,,,8,1,6,1,1,8,1,22,2.1,3.4,5.5,1.2,4.3
1,1925,NFL,Kansas City Cowboys,2,5,1,13th of 20,,65,97,-32,Andrews,,,,,10,1,15,1,1,12,1,20,-4.0,8.5,4.5,5.2,-0.7
2,1924,NFL,Kansas City Blues,2,7,0,15th of 18,,46,124,-78,Andrews,,,,,14,1,12,1,1,13,1,18,-8.7,6.0,-2.6,-1.6,-1.0
