,Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% Playoffs,Rank,Notes
0,1921,23,RII,APFA,5,4,1,0,.800,8.0,1.2,6.9,,,,,5,
1,1922,24,RII,NFL,7,4,2,1,.667,12.5,11.8,0.7,,,,,5,
2,,24,MIL,NFL,3,0,3,0,.000,-1.8,-2.2,0.4,,,,,11,
3,1923,25,MIL,NFL,12,7,2,3,.778,4.0,0.5,3.6,,,,,3,
4,1925,27,DET,NFL,12,8,2,2,.800,-0.9,-2.5,1.6,,,,,3,
5,1926,28,DET,NFL,12,4,6,2,.400,1.3,-0.4,1.7,,,,,12,
6,1927,29,PRV,NFL,14,8,5,1,.615,1.0,-2.0,3.0,,,,,5,
7,1928,30,PRV,NFL,11,8,1,2,.889,4.9,0.3,4.6,,,,,1,NFL Champions
8,1929,31,PRV,NFL,12,4,6,2,.400,-2.0,-1.6,-0.4,,,,,7,
9,1930,32,PRV,NFL,11,6,4,1,.600,-6.5,-4.3,-2.2,,,,,5,
10,1940,42,CRD,NFL,11,2,7,2,.222,-4.3,-1.3,-2.9,,,,,5,
11,1941,43,CRD,NFL,11,3,7,1,.300,-1.6,-3.3,1.8,,,,,4,
12,1942,44,CRD,NFL,11,3,8,0,.273,-7.5,-7.0,-0.5,,,,,4,
13,1946,48,CRD,NFL,11,6,5,0,.545,5.1,4.5,0.6,,,,,3,
14,1947,49,CRD,NFL,12,9,3,0,.750,8.1,4.4,3.7,1,1,0,1.000,1,NFL Champions
15,1948,50,CRD,NFL,12,11,1,0,.917,13.2,9.9,3.3,1,0,1,.000,1,
