,Year,Lg,Tm,W,L,T,Div. Finish,Playoffs,PF,PA,PD,Coaches,AV,Passer,Rusher,Receiver,Pts,Yds,Pts Def Rank,Yds Def Rank,T/G,Pts±,Yds±,out of,MoV,SoS,SRS,OSRS,DSRS
0,1926,NFL,Columbus Tigers,1,6,0,19th of 22,,26,93,-67,Heldt,,,,,16,1,17,1,1,18,1,22,-9.6,2.3,-7.3,-2.2,-5.1
1,1925,NFL,Columbus Tigers,0,9,0,16th of 20,,28,124,-96,Weaver,,,,,17,1,17,1,1,17,1,20,-10.7,9.0,-1.6,-1.0,-0.6
2,1924,NFL,Columbus Tigers,4,4,0,10th of 18,,91,68,23,Weaver,,,,,4,1,9,1,1,7,1,18,2.9,-0.8,2.1,-0.6,2.7
3,1923,NFL,Columbus Tigers,5,4,1,8th of 20,,119,35,84,"Stinchcomb,Tebell",,,,,3,1,4,1,1,3,1,20,8.4,-4.2,4.2,1.9,2.2
4,1922,NFL,Columbus Panhandles,0,8,0,15th of 18,,24,174,-150,Dell,,,,,15,1,16,1,1,16,1,18,-18.8,7.3,-11.5,-3.2,-8.3
5,1921,APFA,Columbus Panhandles,1,8,0,17th of 21,,47,222,-175,Nesser,,,,,14,1,18,1,1,18,1,21,-19.4,7.8,-11.7,1.8,-13.5
6,1920,APFA,Columbus Panhandles,2,6,2,13th of 14,,41,121,-80,Nesser,,,,,12,1,12,1,1,12,1,14,-8.0,6.6,-1.4,2.6,-4.0
