Year,Week,Day,Date,, Offense,OT, Defense,Opp,Tm,Opp_2,1stD,TotYd,PassY,RushY,TO,1stD_3,TotYd_4,PassY_5,RushY_6,TO_7,Offense,Defense,Sp. Tms
2010,WildCard,Sat,"January 8, 2011",boxscore,W,,@,Indianapolis Colts,17,16,23,353,184,169,1,16,312,219,93,,,,
2010,Division,Sun,"January 16, 2011",boxscore,W,,@,New England Patriots,28,21,14,314,194,120,,26,372,259,113,1,,,
2010,ConfChamp,Sun,"January 23, 2011",boxscore,L,,@,Pittsburgh Steelers,19,24,17,289,219,70,1,23,287,121,166,2,,,
2009,WildCard,Sat,"January 9, 2010",boxscore,W,,@,Cincinnati Bengals,24,14,15,353,182,171,,18,281,110,171,2,,,
2009,Division,Sun,"January 17, 2010",boxscore,W,,@,San Diego Chargers,17,14,14,262,93,169,1,18,344,283,61,2,,,
2009,ConfChamp,Sun,"January 24, 2010",boxscore,L,,@,Indianapolis Colts,17,30,17,388,302,86,1,27,461,360,101,1,,,
2006,WildCard,Sun,"January 7, 2007",boxscore,L,,@,New England Patriots,16,37,18,347,277,70,2,26,358,200,158,1,,,
2004,WildCard,Sat,"January 8, 2005",boxscore,W,OT,@,San Diego Chargers,20,17,20,396,270,126,,24,408,308,100,1,,,
2004,Division,Sat,"January 15, 2005",boxscore,L,OT,@,Pittsburgh Steelers,17,20,17,275,165,110,1,23,364,171,193,3,,,
2002,WildCard,Sat,"January 4, 2003",boxscore,W,,,Indianapolis Colts,41,0,26,396,216,180,,10,176,124,52,3,,,
2002,Division,Sun,"January 12, 2003",boxscore,L,,@,Oakland Raiders,10,30,20,287,167,120,4,20,399,272,127,1,,,
2001,WildCard,Sat,"January 12, 2002",boxscore,L,,@,Oakland Raiders,24,38,23,410,265,145,2,23,502,287,215,,,,
1998,Division,Sun,"January 10, 1999",boxscore,W,,,Jacksonville Jaguars,34,24,29,429,278,151,3,14,251,156,95,4,,,
1998,ConfChamp,Sun,"January 17, 1999",boxscore,L,,@,Denver Broncos,10,23,18,370,356,14,6,14,331,153,178,,,,
1991,WildCard,Sun,"December 29, 1991",boxscore,L,,@,Houston Oilers,10,17,18,285,214,71,3,21,303,232,71,2,,,
1986,WildCard,Sun,"December 28, 1986",boxscore,W,,,Kansas City Chiefs,35,15,19,306,141,165,,15,241,174,67,3,,,
1986,Division,Sat,"January 3, 1987",boxscore,L,OT,@,Cleveland Browns,20,23,14,287,183,104,,33,558,483,75,2,,,
1985,WildCard,Sat,"December 28, 1985",boxscore,L,,,New England Patriots,14,26,15,240,182,58,4,12,258,159,99,,,,
1982,WildCard,Sun,"January 9, 1983",boxscore,W,,@,Cincinnati Bengals,44,17,27,517,283,234,2,23,395,333,62,4,,,
1982,Division,Sat,"January 15, 1983",boxscore,W,,@,Los Angeles Raiders,17,14,21,391,252,139,5,19,339,246,93,5,,,
1982,ConfChamp,Sun,"January 23, 1983",boxscore,L,,@,Miami Dolphins,0,14,10,139,77,62,5,13,198,60,138,4,,,
1981,WildCard,Sun,"December 27, 1981",boxscore,L,,,Buffalo Bills,27,31,23,419,348,71,5,15,321,230,91,4,,,
1969,Division,Sat,"December 20, 1969",boxscore,L,,,Kansas City Chiefs,6,13,19,240,153,87,4,14,276,177,99,,,,
1968,ConfChamp,Sun,"December 29, 1968",boxscore,W,,,Oakland Raiders,27,23,25,400,256,144,2,18,443,393,50,,,,
1968,SuperBowl,Sun,"January 12, 1969",boxscore,W,,N,Baltimore Colts,16,7,21,337,195,142,1,18,324,181,143,5,,,
