,Year,PF (Points For),Yds,Offensive Plays,Y/P,TO,FL+,1stD,Cmp Passing,Att Passing,Yds Passing,TD Passing,Int Passing,NY/A Passing,1stD Passing,Att Rushing,Yds Rushing,TD Rushing,Y/A Rushing,1stD Rushing,Pen,Yds Penalties,1stPy,#Dr,Sc%,TO%,Start Average Drive,Time Average Drive,Plays Average Drive,Yds Average Drive,Pts Average Drive,3DAtt,3DConv,3D%,4DAtt,4DConv,4D%,RZAtt,RZTD,RZPct
0,2023,205,2899,537,5.4,13,7,153,178,286,1867,10,6,6.1,91,230,1032,12,4.5,51,54,386,11,100,36.0,13.0,Own 29.0,2:22,5.53,28.9,1.96,117,47,40.2,16,6,37.5,27,16,59.3
1,2022,289,5298,1103,4.8,34,14,310,398,604,3432,17,20,5.2,193,439,1866,8,4.3,91,89,794,26,195,29.2,16.9,Own 28.9,2:40,5.86,27.0,1.39,228,75,32.9%,26,12,46.2%,48,22,45.8%
2,2021,451,5901,1052,5.6,19,11,354,324,521,3361,27,8,6.1,167,499,2540,22,5.1,154,76,688,33,180,43.3,8.9,Own 31.6,3:02,6.04,32.8,2.39,210,86,41.0%,29,18,62.1%,64,36,56.3%
3,2020,451,6049,1032,5.9,15,4,364,371,552,4053,24,11,7.1,201,459,1996,20,4.3,129,94,899,34,171,44.4,8.8,Own 30.2,2:55,6.25,35.4,2.36,197,78,39.6%,26,16,61.5%,60,35,58.3%
4,2019,361,5238,1016,5.2,21,11,340,307,513,3108,22,10,5.7,165,471,2130,17,4.5,131,79,670,44,168,36.3,11.3,Own 27.8,2:52,6.23,31.1,2.02,207,86,41.5%,24,14,58.3%,56,36,64.3%
5,2018,433,6179,1070,5.8,24,9,371,432,644,4461,39,15,6.7,237,408,1718,13,4.2,96,120,953,38,182,41.2,13.2,Own 29.8,2:39,6.04,33.9,2.38,214,104,48.6%,15,7,46.7%,64,44,68.8%
6,2017,263,4553,994,4.6,15,6,267,285,487,2892,13,9,5.3,148,451,1661,11,3.7,94,92,779,25,180,29.4,8.3,Own 27.3,2:38,5.72,25.2,1.42,228,87,38.2,17,8,47.1,40,16,40.0
7,2016,411,5830,1037,5.6,22,7,351,370,584,4202,32,15,6.7,220,409,1628,13,4.0,93,103,883,38,180,40.6,12.2,Own 28.3,2:45,5.94,32.3,2.24,202,87,43.1%,18,8,44.4%,53,35,66.0%
8,2015,333,5142,1052,4.9,30,11,311,355,619,3704,26,19,5.6,195,396,1438,6,3.6,77,108,931,39,194,29.4,14.4,Own 26.8,2:29,5.56,26.5,1.54,235,94,40.0%,13,7,53.8%,49,26,53.1%
9,2014,458,6506,1105,5.9,31,15,371,410,661,4894,42,16,7.1,251,415,1612,9,3.9,80,105,848,40,205,39.5,14.6,Own 28.7,2:29,5.54,31.6,2.18,217,89,41.0%,15,6,40.0%,60,33,55.0%
10,2013,391,5468,1023,5.3,14,4,318,350,582,3725,23,10,6.1,191,409,1743,15,4.3,88,66,576,39,188,38.8,6.9,Own 28.0,2:32,5.65,29.1,1.97,213,80,37.6%,10,3,30.0%,50,28,56.0%
11,2012,357,5799,1109,5.2,27,9,360,339,628,4128,23,18,6.2,208,440,1671,11,3.8,110,94,801,42,180,33.3,13.9,Own 24.8,2:44,6.34,32.2,1.76,229,98,42.8%,8,7,87.5%,48,26,54.2%
12,2011,243,4589,951,4.8,29,15,258,302,534,2995,14,14,5.3,170,382,1594,8,4.2,69,76,549,19,186,24.2,15.6,Own 23.5,2:15,5.26,24.6,1.20,214,74,34.6%,11,4,36.4%,38,16,42.1%
13,2010,435,6092,1088,5.6,25,8,366,450,679,4609,33,17,6.6,253,393,1483,13,3.8,87,79,709,26,179,40.2,13.4,Own 27.5,2:40,6.23,34.0,2.23,204,91,44.6%,8,5,62.5%,56,38,67.9%
14,2009,416,5809,980,5.9,24,5,339,402,601,4515,34,19,7.4,241,366,1294,16,3.5,69,74,546,29,174,37.9,13.2,Own 28.0,2:33,5.75,33.4,2.29,193,95,49.2%,11,5,45.5%,53,35,66.0%
15,2008,377,5368,969,5.5,17,5,321,393,585,4094,27,12,6.8,220,370,1274,13,3.4,80,86,619,21,150,40.7,10.0,Own 28.2,3:03,6.63,35.8,2.31,201,101,50.2%,16,11,68.8%,50,34,68.0%
16,2007,450,5739,1020,5.6,19,5,357,355,551,4033,32,14,7.0,212,446,1706,19,3.8,119,67,515,26,166,44.6,11.4,Own 31.8,2:52,6.32,34.6,2.57,203,100,49.3%,10,6,60.0%,69,39,56.5%
17,2006,427,6070,1011,6.0,19,10,376,362,557,4308,31,9,7.5,241,439,1762,17,4.0,112,86,718,23,156,47.4,10.9,Own 28.8,3:02,6.67,38.9,2.65,187,105,56.1%,4,0,0.0%,62,41,66.1%
18,2005,439,5799,1000,5.8,19,8,363,347,515,4096,31,11,7.7,217,465,1703,18,3.7,116,94,690,30,165,43.6,9.1,Own 31.2,2:57,6.22,35.1,2.50,187,91,48.7%,13,8,61.5%,61,37,60.7%
19,2004,522,6475,968,6.7,17,7,379,353,527,4623,51,10,8.5,238,427,1852,10,4.3,94,106,801,47,175,46.3,9.7,Own 31.0,2:38,5.69,36.9,2.78,164,70,42.7%,7,4,57.1%,67,42,62.7%
20,2003,447,5874,1041,5.6,20,10,348,381,569,4179,29,10,7.1,212,453,1695,16,3.7,104,92,662,32,177,46.3,10.2,Own 31.8,2:51,6.09,33.2,2.41,217,91,41.9%,17,11,64.7%,62,32,51.6%
21,2002,349,5616,1048,5.4,32,13,324,392,591,4055,27,19,6.6,213,434,1561,12,3.6,93,91,730,18,183,33.9,16.4,Own 33.1,2:43,5.90,30.7,1.87,227,102,44.9%,17,13,76.5%,50,26,52.0%
22,2001,413,5955,1025,5.8,38,15,343,349,557,3989,27,23,6.8,206,438,1966,16,4.5,110,76,730,27,195,36.4,18.5,Own 29.7,2:30,5.44,30.5,1.97,205,85,41.5%,8,5,62.5%,47,26,55.3%
23,2000,429,6141,1026,6.0,29,14,357,357,571,4282,33,15,7.2,213,435,1859,14,4.3,111,89,866,33,178,40.4,15.2,Own 29.3,2:39,5.92,34.5,2.27,201,94,46.8%,10,9,90.0%,53,32,60.4%
24,1999,423,5726,979,5.8,28,11,327,338,546,4066,26,17,7.3,200,419,1660,15,4.0,89,81,683,38,186,40.9,15.1,Own 31.0,2:37,5.47,30.7,2.13,186,73,39.2%,6,2,33.3%,60,27,45.0%
25,1998,310,5116,982,5.2,33,5,298,326,576,3630,26,28,6.1,190,384,1486,7,3.9,77,106,853,31,,,,,,,,,,,,,,,,,
26,1997,313,4869,1035,4.7,28,11,301,317,523,3142,16,17,5.4,171,450,1727,10,3.8,109,106,880,21,,,,,,,,,,,,,,,,,
27,1996,317,4744,1000,4.7,24,13,288,311,537,3296,16,11,5.7,172,420,1448,9,3.4,89,76,615,27,,,,,,,,,,,,,,,,,
28,1995,331,4919,961,5.1,22,11,281,270,434,3064,20,11,6.3,147,478,1855,14,3.9,110,97,943,24,,,,,,,,,,,,,,,,,
29,1994,307,4413,899,4.9,31,17,252,217,376,2353,15,14,5.8,126,495,2060,15,4.2,108,82,658,18,,,,,,,,,,,,,,,,,
30,1993,189,4705,988,4.8,35,20,269,332,594,3417,10,15,5.5,180,365,1288,4,3.5,71,94,685,18,,,,,,,,,,,,,,,,,
31,1992,216,4368,969,4.5,37,11,267,305,546,3266,13,26,5.5,174,379,1102,8,2.9,70,122,958,23,,,,,,,,,,,,,,,,,
32,1991,143,3748,923,4.1,31,15,236,305,512,2579,10,16,4.5,163,354,1169,3,3.3,55,85,689,18,,,,,,,,,,,,,,,,,
33,1990,281,4155,874,4.8,31,10,245,269,488,2873,22,21,5.3,142,335,1282,9,3.8,81,79,590,22,,,,,,,,,,,,,,,,,
34,1989,298,4813,979,4.9,27,10,273,253,493,2960,18,17,5.7,140,458,1853,11,4.0,118,89,704,15,,,,,,,,,,,,,,,,,
35,1988,354,4870,982,5.0,30,8,311,222,403,2621,15,22,6.0,130,545,2249,23,4.1,153,89,657,28,,,,,,,,,,,,,,,,,
36,1987,300,4995,968,5.2,34,18,285,255,447,2852,16,16,6.1,138,497,2143,14,4.3,122,90,742,25,,,,,,,,,,,,,,,,,
37,1986,229,4700,1046,4.5,44,20,278,300,586,3209,16,24,5.0,173,407,1491,10,3.7,77,99,880,28,,,,,,,,,,,,,,,,,
38,1985,320,5006,988,5.1,34,14,282,235,468,2567,15,20,5.1,130,485,2439,22,5.0,131,87,678,21,,,,,,,,,,,,,,,,,
39,1984,239,4132,979,4.2,38,16,254,206,411,2107,13,22,4.5,117,510,2025,13,4.0,114,95,798,23,,,,,,,,,,,,,,,,,
