Year,Age,Level,Employer,Role
1960,28,AFL,Los Angeles Chargers,Defensive Line
1961,29,AFL,San Diego Chargers,Defensive Line
1962,30,AFL,San Diego Chargers,Defensive Backfield
1963,31,AFL,San Diego Chargers,Defensive Backfield
1964,32,AFL,San Diego Chargers,Defensive Backfield
1965,33,AFL,San Diego Chargers,Defensive Backfield
1966,34,NFL,Baltimore Colts,Defensive Backfield
1967,35,NFL,Baltimore Colts,Defensive Backfield
1968,36,NFL,Baltimore Colts,Defensive Backfield
1969,37,NFL,Pittsburgh Steelers,Head Coach
1970,38,NFL,Pittsburgh Steelers,Head Coach
1971,39,NFL,Pittsburgh Steelers,Head Coach
1972,40,NFL,Pittsburgh Steelers,Head Coach
1973,41,NFL,Pittsburgh Steelers,Head Coach
1974,42,NFL,Pittsburgh Steelers,Head Coach
1975,43,NFL,Pittsburgh Steelers,Head Coach
1976,44,NFL,Pittsburgh Steelers,Head Coach
1977,45,NFL,Pittsburgh Steelers,Head Coach
1978,46,NFL,Pittsburgh Steelers,Head Coach
1979,47,NFL,Pittsburgh Steelers,Head Coach
1980,48,NFL,Pittsburgh Steelers,Head Coach
1981,49,NFL,Pittsburgh Steelers,Head Coach
1982,50,NFL,Pittsburgh Steelers,Head Coach
1983,51,NFL,Pittsburgh Steelers,Head Coach
1984,52,NFL,Pittsburgh Steelers,Head Coach
1985,53,NFL,Pittsburgh Steelers,Head Coach
1986,54,NFL,Pittsburgh Steelers,Head Coach
1987,55,NFL,Pittsburgh Steelers,Head Coach
1988,56,NFL,Pittsburgh Steelers,Head Coach
1989,57,NFL,Pittsburgh Steelers,Head Coach
1990,58,NFL,Pittsburgh Steelers,Head Coach
1991,59,NFL,Pittsburgh Steelers,Head Coach
