Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% Playoffs,Rank,Notes
1976,53,TAM,NFL,14,0,14,0,.000,-19.7,-10.8,-8.8,,,,,5,
1977,54,TAM,NFL,14,2,12,0,.143,-10.7,-11.1,0.3,,,,,5,
1978,55,TAM,NFL,16,5,11,0,.313,-3.3,-4.1,0.8,,,,,5,
1979,56,TAM,NFL,16,10,6,0,.625,-2.8,-4.6,1.8,2,1,1,.500,1,
1980,57,TAM,NFL,16,5,10,1,.344,-5.1,-3.5,-1.6,,,,,4,
1981,58,TAM,NFL,16,9,7,0,.563,3.0,-1.4,4.4,1,0,1,.000,1,
1982,59,TAM,NFL,9,5,4,0,.556,0.9,-0.4,1.3,1,0,1,.000,3,
1983,60,TAM,NFL,16,2,14,0,.125,-9.0,-7.5,-1.6,,,,,5,
1984,61,TAM,NFL,16,6,10,0,.375,-3.5,-0.2,-3.4,,,,,3,
