Year,Age,Level,Employer,Role
1935,25,College,Texas Tech,Backfield Coach
1936,26,College,Texas Tech,Backfield Coach
1937,27,College,Texas Tech,Backfield Coach
1938,28,College,Texas Tech,Backfield Coach
1939,29,College,Boston College,Backfield Coach
1940,30,College,Boston College,Backfield Coach
1941,31,College,Notre Dame,Backfield Coach
1942,32,College,Notre Dame,Backfield Coach
1943,33,College,Notre Dame,Backfield Coach
1944,34,College,Notre Dame,Head Coach
1945,35,College,Cornell,Head Coach
1946,36,College,Cornell,Head Coach
1947,37,College,San Francisco,Head Coach
1948,38,AAFC,Chicago Rockets,Head Coach
1949,39,College,LSU,Backfield Coach
