Year,Tm,Role,Tms,WL%,T/G,Pts±,Yds±,Yds,Pts,GvA,Att,Yds Rushing Off,TD,Y/A,FL,Att Passing Off,Yds Defense,TD Rushing Def,Int,NY/A,Yds Passing Def,Pts_2,TkA,Att_2,Yds_5,TD_2,Y/A_1,FR,Att_3,Yds_6,TD_3,Int_1,nY/A
2001,PIT,OC,31,2,9,2,2,3,7,2,1,1,2,2,5,28,21,24,2,7,1,3,16,1,1,1,5,14,18,4,13,17,3
2002,PIT,OC,32,6,15,9,3,5,8,28,3,9,14,17,20,16,7,8,25,7,7,16,6,1,1,20,8,5,26,20,9,8,9
2003,PIT,OC,32,20,21,19,18,22,19,13,16,31,23,32,13,10,14,16,15,19,9,15,20,15,12,20,10,19,6,11,16,20,18
2004,BUF,HC,32,10,7,6,10,25,7,18,9,13,8,24,20,27,27,16,17,23,2,8,1,17,7,2,3,5,7,3,13,2,1
2005,BUF,HC,32,23,13,27,30,28,24,13,20,20,29,23,10,26,29,20,17,29,29,24,11,25,31,30,29,10,13,19,14,10,22
2006,MIA,OC,32,24,13,19,12,20,29,11,29,22,28,13,2,4,13,25,23,28,4,5,18,20,8,2,5,2,7,5,20,31,8
2008,ATL,OC,32,6,21,11,19,6,10,8,2,2,3,9,13,29,14,22,5,3,24,11,28,11,25,23,28,20,25,21,14,27,14
2009,ATL,OC,32,11,11,15,19,16,13,12,11,15,14,18,5,7,14,13,17,17,21,14,12,16,10,7,8,6,19,28,20,16,25
2010,ATL,OC,32,2,3,4,14,16,5,3,5,12,9,26,6,8,15,8,4,19,16,5,7,2,10,8,27,20,23,22,13,4,18
2011,ATL,OC,32,7,5,10,7,10,7,7,11,17,12,21,10,4,8,6,8,13,12,18,10,3,6,6,15,14,21,20,20,10,19
2012,JAX,HC,32,31,21,31,32,29,30,17,30,30,29,24,15,11,21,23,22,28,30,29,18,32,30,31,12,13,9,22,12,20,28
2015,TEN,HC,32,31,30,30,25,30,28,31,28,25,18,17,31,21,25,18,24,27,12,27,25,27,18,17,8,22,1,7,29,21,25
2016,TEN,HC,32,11,17,20,17,11,14,11,4,3,10,4,7,28,25,8,12,12,20,16,23,2,2,5,12,24,31,30,17,18,18
2017,TEN,HC,32,11,23,16,17,23,19,23,14,15,2,15,14,28,23,30,26,17,13,17,16,6,4,1,4,14,32,25,24,18,13
